IDC;CNPJ Cliente;Desc estab;UF do Cliente;Cod Item Cliente;Desc Item Cliente;Marca Cliente;Cod Item;Desc Item;Marca da resposta;Qtd.;Status;Motivo da Rejeição;Data Inicial;Val. Unit.;Data de Encerramento;Estab;Vendedor;Valor Total;Região;Família;Data Resposta
566408;5,43846E+13;Hosp. Fornecedores De Cana (Piracicaba/Sp) (Hfcp);SP;138560;citarabina 1g fa 10ml (100mg/ml);ACCORD FARMACEUTICA LTDA;7,8989E+12;citarabina 1fa 10ml 100mg/ml inj;ACCORD FARMACEUTICA LTDA;21;Confirmado;;30/01/2026;R$ 73,04;02/02/2026;FILIAL;50481-Vanusa Garcia;R$ 1.533,84;Sudeste;Medicamentos;30/01/2026
566408;5,43846E+13;Hosp. Fornecedores De Cana (Piracicaba/Sp) (Hfcp);SP;18580;citarabina 100mg fa 1ml;ACCORD FARMACEUTICA LTDA;7,8989E+12;citarabina 1fa 1ml 100mg/ml inj;ACCORD FARMACEUTICA LTDA;1;Perdido;;30/01/2026;R$ 10,35;02/02/2026;FILIAL;50481-Vanusa Garcia;R$ 10,35;Sudeste;Medicamentos;30/01/2026
566408;5,43846E+13;Hosp. Fornecedores De Cana (Piracicaba/Sp) (Hfcp);SP;147631;cabozantinib, maleato 40mg cp rev - cabometyx;IPSEN FARMACEUTICA LTDA;CABOMETYX 40 MG COM REV CT FR PLAS PEAD OPC X 30;cabometyx;IPSEN FARMACEUTICA LTDA;30;Confirmado;;30/01/2026;R$ 1.334,12;02/02/2026;Filial;50481-Vanusa Garcia;R$ 40.023,60;Sudeste;Medicamentos;30/01/2026
566411;04311093001289;Cassems (Cmda);MS;30367;ocrevus (ocrelizumab)sol. inj 920mg/23ml lab roche;SEM VINCULO;7,61333E+12;ocrevus 920 mg sol inj sc ct fa vd trans x 23 ml;ROCHE;1;Confirmado;;30/01/2026;R$ 84.007,27;02/02/2026;Filial;50481-Vanusa Garcia;R$ 84.007,27;Centro-Oeste;Dietas enterais;30/01/2026
566411;04311093001289;Cassems (Cmda);MS;30367;ocrevus (ocrelizumab)sol. inj 920mg/23ml lab roche;SEM VINCULO;7,61333E+12;ocrevus 920 mg sol inj sc ct fa vd trans x 23 ml;ROCHE;1;Confirmado;;30/01/2026;R$ 84.007,27;02/02/2026;Filial;50481-Vanusa Garcia;R$ 84.007,27;Centro-Oeste;Medicamentos;30/01/2026
566414;03511658000156;Oncovida (Oncovida Onco);SP;665;gazyva 1000mg;SEM VINCULO;7,89623E+12;gazyva 1fa 40ml 1000mg inj;Outros;1;Confirmado;;30/01/2026;R$ 25.137,09;02/02/2026;FarmaPontual;50481-Vanusa Garcia;R$ 25.137,09;Sudeste;Dietas enterais;30/01/2026
566414;03511658000156;Oncovida (Oncovida Onco);SP;665;gazyva 1000mg;SEM VINCULO;7,89623E+12;gazyva 1fa 40ml 1000mg inj;Outros;1;Confirmado;;30/01/2026;R$ 25.137,09;02/02/2026;FarmaPontual;50481-Vanusa Garcia;R$ 25.137,09;Sudeste;Medicamentos;30/01/2026
566310;1,23072E+13;Hosp. Santa Casa Maceió (Maceió/Al) (Sta Casa - Sccd);AL;80500;kadcyla 160mg framp;ROCHE;7,89623E+12;kadcyla 160mg;ROCHE;1;Perdido;;30/01/2026;R$ 14.321,94;02/02/2026;FarmaPontual;50478-Adriana Araujo;R$ 14.321,94;Nordeste;Dietas enterais;30/01/2026
566310;1,23072E+13;Hosp. Santa Casa Maceió (Maceió/Al) (Sta Casa - Sccd);AL;80500;kadcyla 160mg framp;ROCHE;7,89623E+12;kadcyla 160mg;ROCHE;1;Perdido;;30/01/2026;R$ 14.321,94;02/02/2026;FarmaPontual;50478-Adriana Araujo;R$ 14.321,94;Nordeste;Medicamentos;30/01/2026
566584;04311093001289;Cassems (Cmda);MS;22427;benlysta (belimumabe) 120mg fa - lab gsk;SEM VINCULO;7,89602E+12;benlysta iv 120mg/5ml;GSK OTC;5;Confirmado;;30/01/2026;R$ 873,42;02/02/2026;Filial;50481-Vanusa Garcia;R$ 4.367,10;Centro-Oeste;Dietas enterais;02/02/2026
566584;04311093001289;Cassems (Cmda);MS;22427;benlysta (belimumabe) 120mg fa - lab gsk;SEM VINCULO;7,89602E+12;benlysta iv 120mg/5ml;GSK OTC;5;Confirmado;;30/01/2026;R$ 873,42;02/02/2026;Filial;50481-Vanusa Garcia;R$ 4.367,10;Centro-Oeste;Medicamentos;02/02/2026
566581;04311093001289;Cassems (Cmda);MS;22534;perjeta 420mg fa - lab roche;SEM VINCULO;7,89623E+12;perjeta 420mg;ROCHE;2;Perdido;;30/01/2026;R$ 14.860,00;02/02/2026;FarmaPontual;50481-Vanusa Garcia;R$ 29.720,00;Centro-Oeste;Dietas enterais;02/02/2026
566581;04311093001289;Cassems (Cmda);MS;22534;perjeta 420mg fa - lab roche;SEM VINCULO;7,89623E+12;perjeta 420mg;ROCHE;2;Perdido;;30/01/2026;R$ 14.860,00;02/02/2026;FarmaPontual;50481-Vanusa Garcia;R$ 29.720,00;Centro-Oeste;Medicamentos;02/02/2026
566257;8,33673E+13;Hosp. Adventista De Belém (Belem - Pa);PA;32520;actemra (tocilizumabe) sc 162mg/0,9ml ser;ROCHE;7,89623E+12;actemra 4ser preenc 162mg 0,9ml inj;ROCHE;4;Perdido;;30/01/2026;R$ 5.922,62;02/02/2026;Filial;3069-Bruna Faria;R$ 23.690,48;Norte;Medicamentos;02/02/2026
566257;8,33673E+13;Hosp. Adventista De Belém (Belem - Pa);PA;7493;actemra (tocilizumabe) 80mg/4ml fa;ROCHE;BIO1EBD396355E7;actemra 20 mg/ml sol dil infus iv ct fa vd trans x 4 ml;ROCHE;14;Perdido;;30/01/2026;R$ 881,45;02/02/2026;Filial;3069-Bruna Faria;R$ 12.340,30;Norte;Medicamentos;02/02/2026
566164;1,24427E+13;Hosp. Unimed Maceió (Tasy) (Hosp. Maceio);AL;56474;lynparza 150mg, caps, cx c/120.;SEM VINCULO;5,00046E+12;lynparza 150mg;Outros;336;Perdido;;30/01/2026;R$ 249,29;02/02/2026;FarmaPontual;50478-Adriana Araujo;R$ 83.760,47;Nordeste;Medicamentos;30/01/2026
566164;1,24427E+13;Hosp. Unimed Maceió (Tasy) (Hosp. Maceio);AL;55887;benlysta 400mg, po lio inj, fra;SEM VINCULO;7,89602E+12;benlysta iv 400mg / 20ml 1 fr ampola;Outros;4;Perdido;;30/01/2026;R$ 3.010,75;02/02/2026;FarmaPontual;50478-Adriana Araujo;R$ 12.043,00;Nordeste;Medicamentos;30/01/2026
566164;1,24427E+13;Hosp. Unimed Maceió (Tasy) (Hosp. Maceio);AL;55803;calquence 100mg, comp;SEM VINCULO;5,00046E+12;calquence;Outros;240;Perdido;;30/01/2026;R$ 455,71;02/02/2026;FarmaPontual;50478-Adriana Araujo;R$ 109.369,68;Nordeste;Medicamentos;30/01/2026
566164;1,24427E+13;Hosp. Unimed Maceió (Tasy) (Hosp. Maceio);AL;55923;cabometyx 60mg, comp;SEM VINCULO;CABOMETYX 60 MG COM REV CT FR PLAS PEAD OPC X 30;cabometyx;Outros;30;Confirmado;;30/01/2026;R$ 1.462,53;02/02/2026;FarmaPontual;50478-Adriana Araujo;R$ 43.875,86;Nordeste;Medicamentos;30/01/2026
566164;1,24427E+13;Hosp. Unimed Maceió (Tasy) (Hosp. Maceio);AL;56484;tagrisso 80mg, comp;SEM VINCULO;5,00046E+12;tagrisso 80mg;Outros;120;Perdido;;30/01/2026;R$ 1.032,37;02/02/2026;FarmaPontual;50478-Adriana Araujo;R$ 123.884,92;Nordeste;Medicamentos;30/01/2026
566164;1,24427E+13;Hosp. Unimed Maceió (Tasy) (Hosp. Maceio);AL;56227;zoladex 10,8mg, com dispositivo de seguranca;SEM VINCULO;7,89621E+12;zoladex la 10,8mg;Outros;6;Confirmado;;30/01/2026;R$ 1.109,55;02/02/2026;FarmaPontual;50478-Adriana Araujo;R$ 6.657,30;Nordeste;Medicamentos;30/01/2026
566164;1,24427E+13;Hosp. Unimed Maceió (Tasy) (Hosp. Maceio);AL;56374;nucala 100mg, sc, ser preenc;SEM VINCULO;7,89602E+12;nucala 100 mg/ml sol + ct aplic;Outros;5;Confirmado;;30/01/2026;R$ 9.395,10;02/02/2026;FarmaPontual;50478-Adriana Araujo;R$ 46.975,50;Nordeste;Medicamentos;30/01/2026
566164;1,24427E+13;Hosp. Unimed Maceió (Tasy) (Hosp. Maceio);AL;56679;actemra 20mg/ml, sol inj, fra 4ml;SEM VINCULO;BIO1EBD396355E7;actemra 20 mg/ml sol dil infus iv ct fa vd trans x 4 ml;Outros;9;Perdido;;30/01/2026;R$ 875,40;02/02/2026;FarmaPontual;50478-Adriana Araujo;R$ 7.878,60;Nordeste;Medicamentos;30/01/2026
566164;1,24427E+13;Hosp. Unimed Maceió (Tasy) (Hosp. Maceio);AL;56677;actemra 20mg/ml, sol inj, fra 10ml;SEM VINCULO;7896226505879DF;actemra;Outros;18;Perdido;;30/01/2026;R$ 2.188,20;02/02/2026;FarmaPontual;50478-Adriana Araujo;R$ 39.387,60;Nordeste;Medicamentos;30/01/2026
566164;1,24427E+13;Hosp. Unimed Maceió (Tasy) (Hosp. Maceio);AL;56532;esbriet 267mg, caps dura;SEM VINCULO;BIO08258D119EEC;esbriet 267mg;Outros;540;Perdido;;30/01/2026;R$ 50,70;02/02/2026;FarmaPontual;50478-Adriana Araujo;R$ 27.377,19;Nordeste;Medicamentos;30/01/2026
566164;1,24427E+13;Hosp. Unimed Maceió (Tasy) (Hosp. Maceio);AL;55867;arimidex  1mg, comp rev;SEM VINCULO;7,89621E+12;arimidex 1mg;Outros;56;Confirmado;;30/01/2026;R$ 18,50;02/02/2026;FarmaPontual;50478-Adriana Araujo;R$ 1.036,24;Nordeste;Medicamentos;30/01/2026
565957;4,54E+13;Unimed Sorocaba (Clin. Nais);SP;55110;erivedge 150mg cpr @;SEM VINCULO;7896226506838DF;erivedge 150mg;ROCHE;28;Confirmado;;30/01/2026;R$ 1.033,84;30/01/2026;Filial;50481-Vanusa Garcia;R$ 28.947,52;Sudeste;Medicamentos;30/01/2026
565967;6,26384E+13;Trasmontano (Transmontano);SP;47628;secuquinumabe 150 mg/ml ser (cosentyx);SEM VINCULO;;;;0;Perdido;Produto sem estoque;30/01/2026;R$ 0,00;30/01/2026;FarmaPontual;50481-Vanusa Garcia;R$ 0,00;Sudeste;Medicamentos;30/01/2026
565967;6,26384E+13;Trasmontano (Transmontano);SP;15077;aflibercepte 40mg/ml (eylia)*;SEM VINCULO;7,89111E+12;eylia 1fa 0,278ml + 1agu 40mg/ml inj;BAYER S A ;9;Confirmado;;30/01/2026;R$ 2.022,10;30/01/2026;Filial;50481-Vanusa Garcia;R$ 18.198,90;Sudeste;Medicamentos;30/01/2026
565944;8,86257E+13;Hosp. Mãe De Deus (Rede Suplementar) Porto Alegr (Hmd);RS;96815;imjudo 20mg/ml sol 15ml astrazeneca;ASTRAZENECA DO BRASIL LTDA;5,00046E+12;imjudo 1fa 15ml 300mg/15ml inj;ASTRAZENECA DO BRASIL LTDA;1;Confirmado;;30/01/2026;R$ 131.865,00;30/01/2026;Filial;50483-Mateus Augusto;R$ 131.865,00;Sul;Medicamentos;30/01/2026
566164;1,24427E+13;Hosp. Unimed Maceió (Tasy) (Hosp. Maceio);AL;61393;cabometyx 20mg, comp;SEM VINCULO;CABOMETYX 20 MG COM REV CT FR PLAS PEAD OPC X 30;cabometyx;Outros;120;Perdido;;30/01/2026;R$ 687,28;02/02/2026;FarmaPontual;50478-Adriana Araujo;R$ 82.473,48;Nordeste;Medicamentos;30/01/2026
566224;1,23072E+13;Hosp. Santa Casa Maceió (Maceió/Al) (Sta Casa - Sccd);AL;46508;herceptin 600 mg/5ml fr/amp sc roche;SEM VINCULO;7,89623E+12;herceptin 600 mg sol inj sc ct fa vd trans x 5 ml;ROCHE;1;Perdido;;30/01/2026;R$ 12.532,00;30/01/2026;FarmaPontual;50478-Adriana Araujo;R$ 12.532,00;Nordeste;Dietas enterais;30/01/2026
565760;7,36967E+13;Hosp. Adventista Silvestre Rio (Has);RJ;33098;imunoglobulina humana 50mg/ml fr 100 ml 5 gramas (blau);SEM VINCULO;7,89601E+12;imunoglobulin 50 mg/ml sol inj ct fa vd inc x 100 ml;BLAU;60;Perdido;;29/01/2026;R$ 1.896,00;31/01/2026;FarmaPontual;50481-Vanusa Garcia;R$ 113.760,00;Sudeste;Medicamentos;30/01/2026
565240;7,6591E+13;Hospital Erasto Gaertner (Matriz);PR;6430;sulf. morfina 10 mg comp (port344/98);CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA ;7,89668E+12;dimorf 10mg comp-5blx10;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA ;1000;Confirmado;;29/01/2026;R$ 0,66;02/02/2026;FarmaPontual;50482-Leticia Nayara;R$ 660,00;Sul;Medicamentos;02/02/2026
565240;7,6591E+13;Hospital Erasto Gaertner (Matriz);PR;21173;letrozol 2,5 mg comp;ACCORD FARMACEUTICA LTDA;7,89132E+12;letrozol;ACCORD FARMACEUTICA LTDA;2010;Perdido;;29/01/2026;R$ 2,20;02/02/2026;FarmaPontual;50482-Leticia Nayara;R$ 4.422,00;Sul;Medicamentos;02/02/2026
565240;7,6591E+13;Hospital Erasto Gaertner (Matriz);PR;127320;fentanila 0,5 mg/10 ml amp (0,05 mg/ml) (port344/98);CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA ;7,89668E+12;fentanest 0.05mg/ml-sinj-25frx10ml;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA ;500;Perdido;;29/01/2026;R$ 5,40;02/02/2026;FarmaPontual;50482-Leticia Nayara;R$ 2.700,00;Sul;Medicamentos;02/02/2026
565760;7,36967E+13;Hosp. Adventista Silvestre Rio (Has);RJ;22895;(np) rituximabe 500mg 50ml iv (mabthera);SEM VINCULO;7,89623E+12;mabthera;ROCHE;4;Perdido;;29/01/2026;R$ 8.734,57;31/01/2026;FarmaPontual;50481-Vanusa Garcia;R$ 34.938,28;Sudeste;Materiais de Laboratório e Banco de Sangue;30/01/2026
565760;7,36967E+13;Hosp. Adventista Silvestre Rio (Has);RJ;22895;(np) rituximabe 500mg 50ml iv (mabthera);SEM VINCULO;7,89623E+12;mabthera;ROCHE;4;Perdido;;29/01/2026;R$ 8.734,57;31/01/2026;FarmaPontual;50481-Vanusa Garcia;R$ 34.938,28;Sudeste;Medicamentos;30/01/2026
565559;4,54E+13;Unimed Sorocaba (Clin. Nais);SP;49585;stivarga 40mg cpr @;SEM VINCULO;7,89111E+12;stivarga 40mg;BAYER S A ;168;Perdido;;29/01/2026;R$ 190,54;30/01/2026;Filial;50481-Vanusa Garcia;R$ 32.010,72;Sudeste;Medicamentos;29/01/2026
565750;4,54E+13;Unimed Sorocaba (Unimed Sorocaba);SP;51019;somatuline autogel 120mg amp @;SEM VINCULO;SOMATULINE AUTOGEL 120MG SOL INJ LIB PROL SER PREENC X 0,5ML;somatuli;IPSEN FARMACEUTICA LTDA;2;Confirmado;;29/01/2026;R$ 3.776,21;30/01/2026;Filial;50481-Vanusa Garcia;R$ 7.552,42;Sudeste;Medicamentos;30/01/2026
565720;04311093001289;Cassems (Cmda);MS;22898;cabometyx 20mg comp;SEM VINCULO;CABOMETYX 20 MG COM REV CT FR PLAS PEAD OPC X 30;cabometyx;IPSEN FARMACEUTICA LTDA;90;Confirmado;;29/01/2026;R$ 646,98;30/01/2026;FarmaPontual;50486-Caio Tiroti;R$ 58.228,35;Centro-Oeste;Dietas enterais;30/01/2026
565720;04311093001289;Cassems (Cmda);MS;22898;cabometyx 20mg comp;SEM VINCULO;CABOMETYX 20 MG COM REV CT FR PLAS PEAD OPC X 30;cabometyx;IPSEN FARMACEUTICA LTDA;90;Confirmado;;29/01/2026;R$ 646,98;30/01/2026;FarmaPontual;50486-Caio Tiroti;R$ 58.228,35;Centro-Oeste;Medicamentos;30/01/2026
565782;4,51861E+13;Santa Casa São José Dos Campos (Scsjc);SP;54117;darolutamida (nubeqa) 300mg comprimido revestido;BAYER S A ;7,89111E+12;nubeqa 300 mg com rev fr x 120;BAYER S A ;240;Perdido;;29/01/2026;R$ 99,27;30/01/2026;Filial;50481-Vanusa Garcia;R$ 23.824,80;Sudeste;Medicamentos;30/01/2026
565760;7,36967E+13;Hosp. Adventista Silvestre Rio (Has);RJ;33098;imunoglobulina humana 50mg/ml fr 100 ml 5 gramas (blau);SEM VINCULO;7,89601E+12;imunoglobulin 50 mg/ml sol inj ct fa vd inc x 100 ml;BLAU;60;Perdido;;29/01/2026;R$ 1.896,00;31/01/2026;FarmaPontual;50481-Vanusa Garcia;R$ 113.760,00;Sudeste;Materiais de Laboratório e Banco de Sangue;30/01/2026
564925;8,86257E+13;Hosp. Mãe De Deus (Rede Suplementar) Porto Alegr (Hmd);RS;95542;lanreotida acetato 120mg sol 0,5ml;IPSEN FARMACEUTICA LTDA;SOMATULINE AUTOGEL 120MG SOL INJ LIB PROL SER PREENC X 0,5ML;somatuli;IPSEN FARMACEUTICA LTDA;3;Perdido;;28/01/2026;R$ 3.050,00;30/01/2026;Filial;50483-Mateus Augusto;R$ 9.150,00;Sul;Medicamentos;30/01/2026
564037;4,86447E+13;Croma Oncologia (Abpf) (Croma Botafogo);RJ;3213;perjeta her 420 mg  440 mg (30 mgml  21 mgml) sol inj fa 14 ml;ROCHE;7,89623E+12;perjeta 420mg;ROCHE;1;Perdido;;28/01/2026;R$ 14.516,71;29/01/2026;FarmaPontual;3069-Bruna Faria;R$ 14.516,71;Sudeste;Medicamentos;28/01/2026
564037;4,86447E+13;Croma Oncologia (Abpf) (Croma Botafogo);RJ;879;actemra 200 mg (20 mgml) sol inj fa 10 ml;ROCHE;7896226505879DF;actemra;ROCHE;1;Perdido;;28/01/2026;R$ 2.105,99;29/01/2026;FarmaPontual;3069-Bruna Faria;R$ 2.105,99;Sudeste;Medicamentos;28/01/2026
564037;4,86447E+13;Croma Oncologia (Abpf) (Croma Botafogo);RJ;620;actemra 162 mg (180 mgml) sol inj ser pre 0,9 ml;ROCHE;7,89623E+12;actemra 4ser preenc 162mg 0,9ml inj;ROCHE;1;Perdido;;28/01/2026;R$ 5.823,12;29/01/2026;FarmaPontual;3069-Bruna Faria;R$ 5.823,12;Sudeste;Medicamentos;28/01/2026
564037;4,86447E+13;Croma Oncologia (Abpf) (Croma Botafogo);RJ;771;ocrevus 300 mg (30 mgml) sol inj fa 10 ml;ROCHE;7,61333E+12;ocrevus 1fa 10ml 30mg/ml inj;ROCHE;1;Perdido;;28/01/2026;R$ 41.247,89;29/01/2026;FarmaPontual;3069-Bruna Faria;R$ 41.247,89;Sudeste;Medicamentos;28/01/2026
564037;4,86447E+13;Croma Oncologia (Abpf) (Croma Botafogo);RJ;540;herceptin sc 600 mg (120 mgml) sol inj fa 5 ml;ROCHE;7,89623E+12;herceptin 600 mg sol inj sc ct fa vd trans x 5 ml;ROCHE;1;Perdido;;28/01/2026;R$ 12.749,42;29/01/2026;FarmaPontual;3069-Bruna Faria;R$ 12.749,42;Sudeste;Medicamentos;28/01/2026
564037;4,86447E+13;Croma Oncologia (Abpf) (Croma Botafogo);RJ;768;gazyva 1.000 mg (25 mgml) sol inj fa 40 ml;ROCHE;7,89623E+12;gazyva 1fa 40ml 1000mg inj;ROCHE;1;Perdido;;28/01/2026;R$ 26.459,82;29/01/2026;FarmaPontual;3069-Bruna Faria;R$ 26.459,82;Sudeste;Medicamentos;28/01/2026
564037;4,86447E+13;Croma Oncologia (Abpf) (Croma Botafogo);RJ;655;mabthera sc 1.400 mg (120 mgml) sol inj fa 11,7 ml;ROCHE;7,89623E+12;mabthera sc 1fa 11,7ml 1400mg inj;ROCHE;1;Perdido;;28/01/2026;R$ 10.512,72;29/01/2026;FarmaPontual;3069-Bruna Faria;R$ 10.512,72;Sudeste;Medicamentos;28/01/2026
564542;07265515000758;Hosp. Inst. Câncer Ceará - Icc (Santa Cecília);RJ;68787;perjeta 420mg/14ml;ROCHE;7,89623E+12;perjeta 420mg;ROCHE;1;Confirmado;;28/01/2026;R$ 13.873,85;28/01/2026;Filial;3069-Bruna Faria;R$ 13.873,85;Sudeste;Medicamentos;28/01/2026
564037;4,86447E+13;Croma Oncologia (Abpf) (Croma Botafogo);RJ;1860;mabthera 500 mg (10 mgml) solucao injetavel frasco-ampola 50 ml;ROCHE;7,89623E+12;mabthera;ROCHE;1;Perdido;;28/01/2026;R$ 8.823,70;29/01/2026;FarmaPontual;3069-Bruna Faria;R$ 8.823,70;Sudeste;Medicamentos;28/01/2026
564037;4,86447E+13;Croma Oncologia (Abpf) (Croma Botafogo);RJ;1859;mabthera 100 mg (10 mgml) solucao injetavel frasco-ampola 10 ml;ROCHE;7,89623E+12;mabthera;ROCHE;1;Perdido;;28/01/2026;R$ 3.534,81;29/01/2026;FarmaPontual;3069-Bruna Faria;R$ 3.534,81;Sudeste;Medicamentos;28/01/2026
564037;4,86447E+13;Croma Oncologia (Abpf) (Croma Botafogo);RJ;1148;cotellic 20 mg comprimido revestido - caixa com 63;ROCHE;BIO5B306E8F5CC2;cotellic 20mg;ROCHE;63;Perdido;;28/01/2026;R$ 324,62;29/01/2026;Filial;3069-Bruna Faria;R$ 20.451,02;Sudeste;Medicamentos;28/01/2026
564037;4,86447E+13;Croma Oncologia (Abpf) (Croma Botafogo);RJ;1012;zelboraf 240 mg comprimido revestido - caixa com 56;ROCHE;7,89623E+12;zelboraf;ROCHE;56;Perdido;;28/01/2026;R$ 171,75;29/01/2026;Filial;3069-Bruna Faria;R$ 9.617,79;Sudeste;Medicamentos;28/01/2026
564037;4,86447E+13;Croma Oncologia (Abpf) (Croma Botafogo);RJ;525;tecentriq 840 mg (60 mgml) sol inj fa 14 ml;ROCHE;7,91333E+12;tecentriq;ROCHE;1;Perdido;;28/01/2026;R$ 18.807,09;29/01/2026;FarmaPontual;3069-Bruna Faria;R$ 18.807,09;Sudeste;Medicamentos;28/01/2026
564037;4,86447E+13;Croma Oncologia (Abpf) (Croma Botafogo);RJ;524;tecentriq 1.200 mg (60 mgml) sol inj fa 20 ml;ROCHE;7896226507118DF;tecentriq 1200mg;ROCHE;1;Perdido;;28/01/2026;R$ 26.867,28;29/01/2026;FarmaPontual;3069-Bruna Faria;R$ 26.867,28;Sudeste;Medicamentos;28/01/2026
564037;4,86447E+13;Croma Oncologia (Abpf) (Croma Botafogo);RJ;534;avastin 400 mg (25 mgml) sol inj fa 16 ml;ROCHE;7,89623E+12;avastin 400mg;ROCHE;1;Perdido;;28/01/2026;R$ 8.205,59;29/01/2026;FarmaPontual;3069-Bruna Faria;R$ 8.205,59;Sudeste;Medicamentos;28/01/2026
564037;4,86447E+13;Croma Oncologia (Abpf) (Croma Botafogo);RJ;2462;ropolivy 30 mg pó liof inj fa;ROCHE;7,61333E+12;ropolivy 1fa 30mg sol inj;ROCHE;1;Perdido;;28/01/2026;R$ 15.403,03;29/01/2026;FarmaPontual;3069-Bruna Faria;R$ 15.403,03;Sudeste;Medicamentos;28/01/2026
564037;4,86447E+13;Croma Oncologia (Abpf) (Croma Botafogo);RJ;2463;ropolivy 140 mg pó liof inj fa;ROCHE;7,61333E+12;ropolivy 1fa 140mg sol inj;ROCHE;1;Perdido;;28/01/2026;R$ 71.884,91;29/01/2026;FarmaPontual;3069-Bruna Faria;R$ 71.884,91;Sudeste;Medicamentos;28/01/2026
