PONTUAL FARMACEUTICA
CONTROLADORA (Consolidado)
Resumo de vendas por item
01 Abril 2024 - 11 Fevereiro 2026


Item ,Descrição do item ,Qtd. vendida ,Receita total 
BEXSERO PFS AFS BR,BEXSERO PFS AFS BR,100,"R$50.709,30"
BICALUTAMIDA 50 MG COM REV CT BL AL PLAS TRANS X 30,BICALUTAMIDA 50 MG COM REV CT BL AL PLAS TRANS X 30,"1,120","R$30.311,20"
BIOGAM 100 MG/ML SOL INFUS IV CX FA VD TRANS X 50 ML,BIOGAM 100 MG/ML SOL INFUS IV CX FA VD TRANS X 50 ML,36,"R$69.215,23"
BISALAX 5 MG COM REV LIB RETARD CT BL AL PLAS TRANS X 20,BISALAX 5 MG COM REV LIB RETARD CT BL AL PLAS TRANS X 20,148,"R$420,43"
"BORMIB 3,5 MG PO LIOF SOL INJ IV/SC CT ENVOL FA VD TRANS","BORMIB 3,5 MG PO LIOF SOL INJ IV/SC CT ENVOL FA VD TRANS",240,"R$17.452,00"
"BORTEZOMIBE 3,5 MG PO LIOF SOL INJ IV/SC CT FA VD TRANS","BORTEZOMIBE 3,5 MG PO LIOF SOL INJ IV/SC CT FA VD TRANS",215,"R$7.909,32"
"BORTYZ 3,5 MG 1FA PO LIOF INJ","BORTYZ 3,5 MG 1FA PO LIOF INJ ","1,150","R$65.834,08"
BREVIBLOC 10 MG/ML SOL INJ CX 25 FA VD AMBX10 ML(EMB HOSP),BREVIBLOC 10 MG/ML SOL INJ CX 25 FA VD AMBX10 ML(EMB HOSP),48,"R$59.557,09"
BRILINTA 90 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 60,BRILINTA 90 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 60,25,"R$8.282,92"
BROMOPRIDA 5 MG/ML SOL INJ IM/IV CT 50 AMP VD AMB X 2ML,BROMOPRIDA 5 MG/ML SOL INJ IM/IV CT 50 AMP VD AMB X 2ML,260,"R$13.614,43"
BRYONY 100 MG/ML SOL INJ/DIL INFUS IV CT 10 FA VD X 2ML,BRYONY 100 MG/ML SOL INJ/DIL INFUS IV CT 10 FA VD X 2ML,86,"R$36.687,00"
BUCLINA 25 MG COM CT BL PLAS PAP TRANS X 30,BUCLINA 25 MG COM CT BL PLAS PAP TRANS X 30,1,"R$14,19"
BUPICAN 5 MG/ ML SOL INJ CX 10 AMP VD TRANS X 4 ML,BUPICAN 5 MG/ ML SOL INJ CX 10 AMP VD TRANS X 4 ML,60,"R$2.520,00"
"BUSCOPAN COMPOSTO (10,0+250,0)MG COM REV CT BL AL PLAS X20","BUSCOPAN COMPOSTO (10,0+250,0)MG COM REV CT BL AL PLAS X20","30,000","R$478.320,00"
"BUSCOPAN COMPOSTO (4,0 + 500,0) MG/ML SOL INJ IV/IM 3AMPX5ML","BUSCOPAN COMPOSTO (4,0 + 500,0) MG/ML SOL INJ IV/IM 3AMPX5ML",232,"R$5.250,20"
BUSCOPAN 10 MG DRG CT BL AL PLAS PVC/PVDC OPC X 20,BUSCOPAN 10 MG DRG CT BL AL PLAS PVC/PVDC OPC X 20,"3,360","R$28.126,95"
BUSCOPAN 20 MG SOL INJ CT 5 AMP VD TRANS X 1 ML,BUSCOPAN 20 MG SOL INJ CT 5 AMP VD TRANS X 1 ML,0,"R$150,00"
"BUSSULFANO 6,0 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 10 ML","BUSSULFANO 6,0 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 10 ML","1,240","R$1.336.204,70"
"BUXILFAM 6,0 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 10 ML","BUXILFAM 6,0 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 10 ML",270,"R$289.918,28"
CABOMETYX 20 MG COM REV CT FR PLAS PEAD OPC X 30,CABOMETYX 20 MG COM REV CT FR PLAS PEAD OPC X 30,414,"R$7.951.257,19"
CABOMETYX 40 MG COM REV CT FR PLAS PEAD OPC X 30,CABOMETYX 40 MG COM REV CT FR PLAS PEAD OPC X 30,365,"R$13.754.618,25"
CABOMETYX 60 MG COM REV CT FR PLAS PEAD OPC X 30,CABOMETYX 60 MG COM REV CT FR PLAS PEAD OPC X 30,223,"R$9.037.647,40"
CALQUENCE COMPRIMIDOS 100 MG COM REV CT BL AL AL X 60,CALQUENCE COMPRIMIDOS 100 MG COM REV CT BL AL AL X 60,"1,985","R$63.753.155,66"
CAPECITABINA 500 MG COM REV CT BL AL PVC OPC X 120,CAPECITABINA 500 MG COM REV CT BL AL PVC OPC X 120,919,"R$202.244,75"
CASODEX 50 MG COM REV CT BL AL PLAS TRANS X 28,CASODEX 50 MG COM REV CT BL AL PLAS TRANS X 28,3,"R$2.375,67"
CEFALEXINA 50 MG/ML PO SUS OR CT FR VD AMB X 100 ML + COP,CEFALEXINA 50 MG/ML PO SUS OR CT FR VD AMB X 100 ML + COP,386,"R$2.895,00"
CEFTRIAXONA SÓDICA 1 G PÓ P/ SOL INJ  IV CT 50 FA VD TRANS,CEFTRIAXONA SÓDICA 1 G PÓ P/ SOL INJ  IV CT 50 FA VD TRANS,4,"R$1.081,32"
"CELESTAMINE 0,05 MG/ML + 0,4 MG/ML XPEX120ML+DOSAD","CELESTAMINE 0,05 MG/ML + 0,4 MG/ML XPEX120ML+DOSAD","2,447","R$38.107,85"
"CELESTONE SOLUSPAN 3,0MG/ML+3,945 MG/ML SUS INJ 1AMPX1ML ","CELESTONE SOLUSPAN 3,0MG/ML+3,945 MG/ML SUS INJ 1AMPX1ML ","1,412","R$10.121,19"
"CELESTONE 0,1 MG/ML ELX  CT FR VD AMB X 120 ML","CELESTONE 0,1 MG/ML ELX  CT FR VD AMB X 120 ML","1,129","R$9.179,66"
CELESTONE 2 MG COM CT BL AL PLAS TRANS X 10,CELESTONE 2 MG COM CT BL AL PLAS TRANS X 10,390,"R$3.950,40"
CELESTONE 4 MG/ML SOL INJ CT CAMA AMP VD TRANS X 1 ML,CELESTONE 4 MG/ML SOL INJ CT CAMA AMP VD TRANS X 1 ML,405,"R$1.954,00"
CELLCEPT 500 MG COM REV CT  BL AL PLAS OPC X 50,CELLCEPT 500 MG COM REV CT  BL AL PLAS OPC X 50,26,"R$16.038,00"
CERMAZ 1 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30,CERMAZ 1 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30,70,"R$609,50"
CETOPROFENO 100 MG PÓ LIOF P/ SOL INJ CX 50 FA VD TRANS,CETOPROFENO 100 MG PÓ LIOF P/ SOL INJ CX 50 FA VD TRANS,80,"R$8.544,00"
CETROLAC 30 MG/ML SOL INJ CT 10 AMP VD AMB X 1ML,CETROLAC 30 MG/ML SOL INJ CT 10 AMP VD AMB X 1ML,554,"R$16.274,81"
CIS 2 MG/ML SOL INJ IV CT 5 AMP VD TRANS X 5 ML,CIS 2 MG/ML SOL INJ IV CT 5 AMP VD TRANS X 5 ML,300,"R$11.366,74"
CITARABINA 100 MG/ML SOL INJ CT FA VD TRANS X 1 ML,CITARABINA 100 MG/ML SOL INJ CT FA VD TRANS X 1 ML,101,"R$1.060,14"
CITARABINA 100 MG/ML SOL INJ CT FA VD TRANS X 10 ML,CITARABINA 100 MG/ML SOL INJ CT FA VD TRANS X 10 ML,"2,180","R$169.613,83"
CITARABINA 100 MG/ML SOL INJ CT FA VD TRANS X 5 ML,CITARABINA 100 MG/ML SOL INJ CT FA VD TRANS X 5 ML,860,"R$32.813,75"
CLARITROMICINA 500 MG PO LIOF SOL INFUS IV CT FA VD TRANS,CLARITROMICINA 500 MG PO LIOF SOL INFUS IV CT FA VD TRANS,40,"R$1.117,60"
CLAVULIN (875+ 125) MG COM REV CT ENVOL X14,CLAVULIN (875+ 125) MG COM REV CT ENVOL X14,4,"R$845,04"
CLONIDIN 150 MCG/ML SOL INJ CX 30 EST X AMP VD AMB X 1 ML,CLONIDIN 150 MCG/ML SOL INJ CX 30 EST X AMP VD AMB X 1 ML,278,"R$43.708,58"
CLORETO DE SODIO 9 MG/ML SOL INJ IV CX 50 SIST FECH X 250 ML,CLORETO DE SODIO 9 MG/ML SOL INJ IV CX 50 SIST FECH X 250 ML,310,"R$56.440,21"
CLORETO DE SODIO 9 MG/ML SOL INJ IV CX100  SIST FECH X100 ML,CLORETO DE SODIO 9 MG/ML SOL INJ IV CX100  SIST FECH X100 ML,349,"R$99.818,06"
CLORETO DE SODIO 9 MG/ML SOL INJ IV CX30 SIST FECH X 500 ML,CLORETO DE SODIO 9 MG/ML SOL INJ IV CX30 SIST FECH X 500 ML,297,"R$41.469,81"
CLORETO DE SODIO 9MG/ML SOL INJ IV CX 15 SIST FECH X1000ML,CLORETO DE SODIO 9MG/ML SOL INJ IV CX 15 SIST FECH X1000ML,80,"R$10.174,78"
CLORIDRATO DE CLINDAMICINA 300MG CAP GEL DURA  X 16,CLORIDRATO DE CLINDAMICINA 300MG CAP GEL DURA  X 16,234,"R$2.653,47"
CLORIDRATO DE DEXMEDETOMIDINA 100MCG/ML SOL INJ 5 FA 2ML,CLORIDRATO DE DEXMEDETOMIDINA 100MCG/ML SOL INJ 5 FA 2ML,"1,163","R$43.370,90"
CLORIDRATO DE DEXMEDETOMIDINA 100MCG/ML SOL IV CX5 FAX2ML,CLORIDRATO DE DEXMEDETOMIDINA 100MCG/ML SOL IV CX5 FAX2ML,40,"R$1.420,00"
CLORIDRATO DE DOPAMINA 5 MG/ML SOL INJ IV CT 50 AMP X 10 ML,CLORIDRATO DE DOPAMINA 5 MG/ML SOL INJ IV CT 50 AMP X 10 ML,54,"R$7.361,26"
CLORIDRATO DE EPIRRUBICINA 2 MG/ML SOL INJ IV 25 ML,CLORIDRATO DE EPIRRUBICINA 2 MG/ML SOL INJ IV 25 ML,76,"R$14.171,08"
CLORIDRATO DE GENCITABINA 1000MG PO LIOF INJ 50ML,CLORIDRATO DE GENCITABINA 1000MG PO LIOF INJ 50ML,100,"R$6.499,23"
CLORIDRATO DE GENCITABINA 200MG PO LIOF INJ 10ML,CLORIDRATO DE GENCITABINA 200MG PO LIOF INJ 10ML,146,"R$3.660,22"
CLORIDRATO DE IRINOTECANO 20 MG/ML SOL DIL INFUS IV5ML,CLORIDRATO DE IRINOTECANO 20 MG/ML SOL DIL INFUS IV5ML,"1,777","R$62.742,77"
CLORIDRATO DE REMIFENTANILA 2MG PO LIOF SOL INJ IV CX5 FA VD,CLORIDRATO DE REMIFENTANILA 2MG PO LIOF SOL INJ IV CX5 FA VD,283,"R$19.005,61"
CLORIDRATO DE TOPOTECANA 4 MG PO LIOF SOL INJ FA X 4 ML,CLORIDRATO DE TOPOTECANA 4 MG PO LIOF SOL INJ FA X 4 ML,44,"R$20.262,46"
CLORIDRATO DE TRAMADOL 50MG/ML INJ IT/IV/IM/SC 50AMPX1ML,CLORIDRATO DE TRAMADOL 50MG/ML INJ IT/IV/IM/SC 50AMPX1ML,124,"R$4.960,00"
CLORPROMAZ 5 MG/ML SOL INJ CT 50 AMP VD AMB X 5 ML,CLORPROMAZ 5 MG/ML SOL INJ CT 50 AMP VD AMB X 5 ML,155,"R$10.210,91"
CODEIN 3 MG/ML SOL OR CT FR VD AMB X 120 ML,CODEIN 3 MG/ML SOL OR CT FR VD AMB X 120 ML,217,"R$9.766,79"
CODEIN 30 MG COM CT BL AL PLAS TRANS X 30,CODEIN 30 MG COM CT BL AL PLAS TRANS X 30,650,"R$24.845,11"
CORTISONAL 100 MG PO SOL INJ/INFUS IV/IM CT 50 FA VD TRANS,CORTISONAL 100 MG PO SOL INJ/INFUS IV/IM CT 50 FA VD TRANS,184,"R$27.534,17"
CORTISONAL 500 MG PO SOL INJ/INFUS IV/IM CT 50 FA VD TRANS,CORTISONAL 500 MG PO SOL INJ/INFUS IV/IM CT 50 FA VD TRANS,35,"R$11.091,67"
COSENTYX 150 MG/ML SOL INJ CT 1 SER PREENC X 1ML+1 CAN APLIC,COSENTYX 150 MG/ML SOL INJ CT 1 SER PREENC X 1ML+1 CAN APLIC,"4,575","R$19.340.506,39"
COSENTYX 300 MG SOL INJ CT 1 SER PREENC X 2 ML + 1 CAN APLIC,COSENTYX 300 MG SOL INJ CT 1 SER PREENC X 2 ML + 1 CAN APLIC,441,"R$3.694.703,05"
"COSENTYX 75 MG SOL INJ CT 1 SER PREENC VD TRANS X 0,5 ML","COSENTYX 75 MG SOL INJ CT 1 SER PREENC VD TRANS X 0,5 ML",1,"R$1.984,54"
COTELLIC 20 MG COM REV CT BL AL PLAS TRANS X 63,COTELLIC 20 MG COM REV CT BL AL PLAS TRANS X 63,10,"R$213.636,31"
CRESTOR 10 MG COM REV CT BL AL/AL X 30,CRESTOR 10 MG COM REV CT BL AL/AL X 30,"1,509","R$201.416,70"
DANTROLEN 20MG PO LIOF SOL INJ IV CX 12 FA VD+DIL FA VDX60ML,DANTROLEN 20MG PO LIOF SOL INJ IV CX 12 FA VD+DIL FA VDX60ML,12,"R$20.939,75"
DAPTOMICINA 500 MG PO LIOF SOL INJ/INFUS IV FA TRANS,DAPTOMICINA 500 MG PO LIOF SOL INJ/INFUS IV FA TRANS,898,"R$96.646,90"
DAXAS 500 MCG COM REV CT BL PVC/PVDC/AL X 30,DAXAS 500 MCG COM REV CT BL PVC/PVDC/AL X 30,2,"R$471,80"
DECAN HALOPER 50 MG/ML SOL INJ CT 3 AMP VD AMB X 1 ML,DECAN HALOPER 50 MG/ML SOL INJ CT 3 AMP VD AMB X 1 ML,539,"R$6.692,76"
"DESLANOL 0,2 MG/ML SOL INJ IV/IM CT 50 AMP VD AMB X 2 ML","DESLANOL 0,2 MG/ML SOL INJ IV/IM CT 50 AMP VD AMB X 2 ML",63,"R$4.509,19"
DICLOFENACO SÓDICO 25 MG/ML SOL INJ IM CT 50 AMP VD X 3 ML,DICLOFENACO SÓDICO 25 MG/ML SOL INJ IM CT 50 AMP VD X 3 ML,267,"R$9.375,00"
DIFENIDRIN 50 MG/ML SOL INJ CX 25AMP VD AMB X 1 ML(EMB HOSP),DIFENIDRIN 50 MG/ML SOL INJ CX 25AMP VD AMB X 1 ML(EMB HOSP),554,"R$235.675,61"
DIGESTINA 5 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML,DIGESTINA 5 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML,594,"R$31.575,24"
"DIMORF 0,2 MG/ML SOL INJ CX 50 ENVOL AMP VD AMB X 1 ML","DIMORF 0,2 MG/ML SOL INJ CX 50 ENVOL AMP VD AMB X 1 ML",45,"R$10.692,44"
DIMORF 10 MG COM CX BL AL AL X 50,DIMORF 10 MG COM CX BL AL AL X 50,250,"R$8.127,68"
DIMORF 10 MG/ML SOL GOT CT FR VD AMB X 60 ML  + CGT,DIMORF 10 MG/ML SOL GOT CT FR VD AMB X 60 ML  + CGT,35,"R$924,57"
"DIMORF 1,0 MG/ML SOL INJ CX 50 ENVOL AMP VD AMB X 2 ML","DIMORF 1,0 MG/ML SOL INJ CX 50 ENVOL AMP VD AMB X 2 ML",48,"R$13.116,34"
"DIMORF 10,0 MG/ML SOL INJ CX 50 AMP VD AMB X 1ML","DIMORF 10,0 MG/ML SOL INJ CX 50 AMP VD AMB X 1ML",125,"R$13.063,28"
DIMORF 30 MG COM CX BL AL AL X 50,DIMORF 30 MG COM CX BL AL AL X 50,18,"R$1.658,75"
"DIPROGENTA (0,5 + 1) MG/G CREM DERM CT  BG AL X 30 G ","DIPROGENTA (0,5 + 1) MG/G CREM DERM CT  BG AL X 30 G ","1,418","R$31.963,52"
"DIPROSONE 0,64 MG/G CREM DERM CT BG AL X 30 G ","DIPROSONE 0,64 MG/G CREM DERM CT BG AL X 30 G ",354,"R$11.756,73"
"DIPROSPAN 5,0 MG/ML + 2,0 MG/ML SUS INJ CT AMP VD X 1ML+SER ","DIPROSPAN 5,0 MG/ML + 2,0 MG/ML SUS INJ CT AMP VD X 1ML+SER ","61,168","R$501.178,60"
"DIPROSPAN 5,0 MG/ML + 2,0 MG/ML SUS INJ 6 AMP VD X1ML","DIPROSPAN 5,0 MG/ML + 2,0 MG/ML SUS INJ 6 AMP VD X1ML",404,"R$15.518,33"
DOCKS 2 MG/ML SOL INJ IV CT FA VD TRANS X 25 ML,DOCKS 2 MG/ML SOL INJ IV CT FA VD TRANS X 25 ML,936,"R$47.818,09"
"DOLO MOFF 1,0MG/ML SOL INJ/DIL INFUS IV/EPI/IT/IM 50 AMPX2ML","DOLO MOFF 1,0MG/ML SOL INJ/DIL INFUS IV/EPI/IT/IM 50 AMPX2ML",107,"R$12.690,98"
DORMIRE 1 MG/ML  SOL INJ IV/IM/RET CX 10 AMP VD AMB X 5 ML,DORMIRE 1 MG/ML  SOL INJ IV/IM/RET CX 10 AMP VD AMB X 5 ML,80,"R$2.687,89"
DORMIRE 5 MG/ML  SOL INJ IV/IM/RET CX 10 AMP VD AMB X 10 ML,DORMIRE 5 MG/ML  SOL INJ IV/IM/RET CX 10 AMP VD AMB X 10 ML,17,"R$1.103,14"
DORMIRE 5 MG/ML  SOL INJ IV/IM/RET CX 10 AMP VD AMB X 3 ML,DORMIRE 5 MG/ML  SOL INJ IV/IM/RET CX 10 AMP VD AMB X 3 ML,83,"R$1.765,26"
DRAMIN B6 DL 100FA 10ML 3 + 5 + 100 + 100MG/ML INJ IMPORT,DRAMIN B6 DL 100FA 10ML 3 + 5 + 100 + 100MG/ML INJ IMPORT,702,"R$532.799,12"
DRAMIN B6 DL 3MG/M+5MG/ML+100 MG/ML+100 MG/ML SOL INJ 100AMP,DRAMIN B6 DL 3MG/M+5MG/ML+100 MG/ML+100 MG/ML SOL INJ 100AMP,"1,924","R$1.436.461,36"
DRAMIN B6 (25 + 5) MG/ML SOL GOT OR CT FR GOT PLAS AMBX30ML,DRAMIN B6 (25 + 5) MG/ML SOL GOT OR CT FR GOT PLAS AMBX30ML,960,"R$15.899,02"
DRAMIN B6 (50 + 10) MG COM REV CT BL AL PLAS X30,DRAMIN B6 (50 + 10) MG COM REV CT BL AL PLAS X30,"1,848","R$31.121,02"
"DROPERDAL 2,5 MG/ML SOL INJ IM/IV CX  50 AMP VD AMB X 1 ML","DROPERDAL 2,5 MG/ML SOL INJ IM/IV CX  50 AMP VD AMB X 1 ML",93,"R$43.174,24"
"DUOFLAM 6,43 MG/ML + 2,63 MG/ML SUS INJ CX 25 AMP VDX1ML","DUOFLAM 6,43 MG/ML + 2,63 MG/ML SUS INJ CX 25 AMP VDX1ML",144,"R$11.866,08"
DYSPORT 300 U PO LIOF SOL INJ CT FA VD TRANS,DYSPORT 300 U PO LIOF SOL INJ CT FA VD TRANS,433,"R$526.540,90"
DYSPORT 500 U PO LIOF SOL INJ CT FA VD TRANS,DYSPORT 500 U PO LIOF SOL INJ CT FA VD TRANS,"1,206","R$2.521.734,23"
"ECOFILM 5,0 MG/ML SOL OFT CT FR GOT PLAS OPC X 15 ML","ECOFILM 5,0 MG/ML SOL OFT CT FR GOT PLAS OPC X 15 ML",150,"R$3.116,50"
"ECOFILM 5,0 MG/ML SOL OFT CT FR GOT PLAS OPC X 5 ML","ECOFILM 5,0 MG/ML SOL OFT CT FR GOT PLAS OPC X 5 ML",50,"R$366,00"
ENSPRYNG 120 MG SOL INJ SC CT 1 SER PREENC PLAS TRANS X 1ML,ENSPRYNG 120 MG SOL INJ SC CT 1 SER PREENC PLAS TRANS X 1ML,4,"R$191.351,40"
"ERGOMETRIN 0,2 MG/ML SOL INJ SC/IM/IV 50 AMP VD X 1 ML","ERGOMETRIN 0,2 MG/ML SOL INJ SC/IM/IV 50 AMP VD X 1 ML",72,"R$5.354,19"
ERITROMAX 40000 UI/ML 1 SER PREENCH X 1 ML,ERITROMAX 40000 UI/ML 1 SER PREENCH X 1 ML,80,"R$63.340,69"
ERIVEDGE 150 MG CAP DURA CT FR PLAS OPC X 28,ERIVEDGE 150 MG CAP DURA CT FR PLAS OPC X 28,115,"R$3.409.392,15"
ESBRIET 267 MG CAP DURA CT FR PLAS OPC X 270,ESBRIET 267 MG CAP DURA CT FR PLAS OPC X 270,90,"R$1.166.018,31"
ETILEFRIL 10 MG/ML SOL INJ IM/IV/SC CT 6 AMP VD AMB X 1 ML,ETILEFRIL 10 MG/ML SOL INJ IM/IV/SC CT 6 AMP VD AMB X 1 ML,387,"R$2.849,71"
