PONTUAL FARMACEUTICA
CONTROLADORA (Consolidado)
Resumo de vendas por item
01 Janeiro 2024 - 12 Fevereiro 2026


Item ,Descrição do item ,Qtd. vendida ,Receita total 
BETAPROSPAN 5 MG/ML  + 2 MG/ML SUS INJ AMP X 1ML+SER+AGU,BETAPROSPAN 5 MG/ML  + 2 MG/ML SUS INJ AMP X 1ML+SER+AGU,714,"R$2.221,40"
BEXSERO PFS AFS BR,BEXSERO PFS AFS BR,100,"R$50.709,30"
BICALUTAMIDA 50 MG COM REV CT BL AL PLAS TRANS X 30,BICALUTAMIDA 50 MG COM REV CT BL AL PLAS TRANS X 30,"1,120","R$30.311,20"
BIOGAM 100 MG/ML SOL INFUS IV CX FA VD TRANS X 50 ML,BIOGAM 100 MG/ML SOL INFUS IV CX FA VD TRANS X 50 ML,36,"R$69.215,23"
BISALAX 5 MG COM REV LIB RETARD CT BL AL PLAS TRANS X 20,BISALAX 5 MG COM REV LIB RETARD CT BL AL PLAS TRANS X 20,198,"R$591,34"
"BORMIB 3,5 MG PO LIOF SOL INJ IV/SC CT ENVOL FA VD TRANS","BORMIB 3,5 MG PO LIOF SOL INJ IV/SC CT ENVOL FA VD TRANS",240,"R$17.452,00"
"BORTEZOMIBE 3,5 MG PO LIOF SOL INJ IV/SC CT FA VD TRANS","BORTEZOMIBE 3,5 MG PO LIOF SOL INJ IV/SC CT FA VD TRANS",215,"R$7.909,32"
"BORTYZ 3,5 MG 1FA PO LIOF INJ","BORTYZ 3,5 MG 1FA PO LIOF INJ ","1,150","R$65.834,08"
BREVIBLOC 10 MG/ML SOL INJ CX 25 FA VD AMBX10 ML(EMB HOSP),BREVIBLOC 10 MG/ML SOL INJ CX 25 FA VD AMBX10 ML(EMB HOSP),48,"R$59.557,09"
BRILINTA 90 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 60,BRILINTA 90 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 60,28,"R$9.253,48"
BROMOPRIDA 5 MG/ML SOL INJ IM/IV CT 50 AMP VD AMB X 2ML,BROMOPRIDA 5 MG/ML SOL INJ IM/IV CT 50 AMP VD AMB X 2ML,474,"R$24.314,43"
BRYONY 100 MG/ML SOL INJ/DIL INFUS IV CT 10 FA VD X 2ML,BRYONY 100 MG/ML SOL INJ/DIL INFUS IV CT 10 FA VD X 2ML,133,"R$60.187,00"
BUCLINA 25 MG COM CT BL PLAS PAP TRANS X 30,BUCLINA 25 MG COM CT BL PLAS PAP TRANS X 30,3,"R$39,61"
BUPICAN 5 MG/ ML SOL INJ CX 10 AMP VD TRANS X 4 ML,BUPICAN 5 MG/ ML SOL INJ CX 10 AMP VD TRANS X 4 ML,60,"R$2.520,00"
"BUSCOPAN COMPOSTO (10,0+250,0)MG COM REV CT BL AL PLAS X20","BUSCOPAN COMPOSTO (10,0+250,0)MG COM REV CT BL AL PLAS X20","30,000","R$478.320,00"
"BUSCOPAN COMPOSTO (4,0 + 500,0) MG/ML SOL INJ IV/IM 3AMPX5ML","BUSCOPAN COMPOSTO (4,0 + 500,0) MG/ML SOL INJ IV/IM 3AMPX5ML","2,218","R$12.838,72"
BUSCOPAN 10 MG DRG CT BL AL PLAS PVC/PVDC OPC X 20,BUSCOPAN 10 MG DRG CT BL AL PLAS PVC/PVDC OPC X 20,"3,360","R$28.126,95"
BUSCOPAN 20 MG SOL INJ CT 5 AMP VD TRANS X 1 ML,BUSCOPAN 20 MG SOL INJ CT 5 AMP VD TRANS X 1 ML,408,"R$3.609,36"
"BUSSULFANO 6,0 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 10 ML","BUSSULFANO 6,0 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 10 ML","1,240","R$1.336.204,70"
"BUXILFAM 6,0 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 10 ML","BUXILFAM 6,0 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 10 ML",270,"R$289.918,28"
CABOMETYX 20 MG COM REV CT FR PLAS PEAD OPC X 30,CABOMETYX 20 MG COM REV CT FR PLAS PEAD OPC X 30,414,"R$7.951.257,19"
CABOMETYX 40 MG COM REV CT FR PLAS PEAD OPC X 30,CABOMETYX 40 MG COM REV CT FR PLAS PEAD OPC X 30,370,"R$13.948.274,10"
CABOMETYX 60 MG COM REV CT FR PLAS PEAD OPC X 30,CABOMETYX 60 MG COM REV CT FR PLAS PEAD OPC X 30,227,"R$9.205.304,34"
CALQUENCE COMPRIMIDOS 100 MG COM REV CT BL AL AL X 60,CALQUENCE COMPRIMIDOS 100 MG COM REV CT BL AL AL X 60,"2,039","R$65.460.760,01"
CALQUENCE 100 MG CAP DURA CT BL AL AL X 60,CALQUENCE 100 MG CAP DURA CT BL AL AL X 60,3,"R$125.322,50"
CAPECITABINA 500 MG COM REV CT BL AL PVC OPC X 120,CAPECITABINA 500 MG COM REV CT BL AL PVC OPC X 120,919,"R$202.244,75"
CASODEX 50 MG COM REV CT BL AL PLAS TRANS X 28,CASODEX 50 MG COM REV CT BL AL PLAS TRANS X 28,5,"R$3.753,28"
CEFALEXINA 50 MG/ML PO SUS OR CT FR VD AMB X 100 ML + COP,CEFALEXINA 50 MG/ML PO SUS OR CT FR VD AMB X 100 ML + COP,428,"R$3.282,18"
CEFALEXINA 500 MG CAP DURA CT BL AL PLAS PVC/PVDC TRANS X 10,CEFALEXINA 500 MG CAP DURA CT BL AL PLAS PVC/PVDC TRANS X 10,2,"R$11,00"
CEFTRIAXONA SÓDICA 1 G PÓ P/ SOL INJ  IV CT 50 FA VD TRANS,CEFTRIAXONA SÓDICA 1 G PÓ P/ SOL INJ  IV CT 50 FA VD TRANS,4,"R$1.081,32"
"CELESTAMINE 0,05 MG/ML + 0,4 MG/ML XPEX120ML+DOSAD","CELESTAMINE 0,05 MG/ML + 0,4 MG/ML XPEX120ML+DOSAD","2,448","R$38.117,06"
"CELESTONE SOLUSPAN 3,0MG/ML+3,945 MG/ML SUS INJ 1AMPX1ML ","CELESTONE SOLUSPAN 3,0MG/ML+3,945 MG/ML SUS INJ 1AMPX1ML ","1,447","R$10.350,44"
"CELESTONE 0,1 MG/ML ELX  CT FR VD AMB X 120 ML","CELESTONE 0,1 MG/ML ELX  CT FR VD AMB X 120 ML","1,129","R$9.179,66"
CELESTONE 2 MG COM CT BL AL PLAS TRANS X 10,CELESTONE 2 MG COM CT BL AL PLAS TRANS X 10,390,"R$3.950,40"
CELESTONE 4 MG/ML SOL INJ CT CAMA AMP VD TRANS X 1 ML,CELESTONE 4 MG/ML SOL INJ CT CAMA AMP VD TRANS X 1 ML,960,"R$4.441,87"
CELLCEPT 500 MG COM REV CT  BL AL PLAS OPC X 50,CELLCEPT 500 MG COM REV CT  BL AL PLAS OPC X 50,28,"R$17.222,00"
CERMAZ 1 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30,CERMAZ 1 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30,70,"R$609,50"
CETOPROFENO 100 MG PÓ LIOF P/ SOL INJ CX 50 FA VD TRANS,CETOPROFENO 100 MG PÓ LIOF P/ SOL INJ CX 50 FA VD TRANS,80,"R$8.544,00"
CETROLAC 30 MG/ML SOL INJ CT 10 AMP VD AMB X 1ML,CETROLAC 30 MG/ML SOL INJ CT 10 AMP VD AMB X 1ML,"1,706","R$50.019,88"
CIS 2 MG/ML SOL INJ IV CT 5 AMP VD TRANS X 5 ML,CIS 2 MG/ML SOL INJ IV CT 5 AMP VD TRANS X 5 ML,300,"R$11.366,74"
CITARABINA 100 MG/ML SOL INJ CT FA VD TRANS X 1 ML,CITARABINA 100 MG/ML SOL INJ CT FA VD TRANS X 1 ML,101,"R$1.060,14"
CITARABINA 100 MG/ML SOL INJ CT FA VD TRANS X 10 ML,CITARABINA 100 MG/ML SOL INJ CT FA VD TRANS X 10 ML,"2,180","R$169.613,83"
CITARABINA 100 MG/ML SOL INJ CT FA VD TRANS X 5 ML,CITARABINA 100 MG/ML SOL INJ CT FA VD TRANS X 5 ML,"1,010","R$38.538,75"
CLARITROMICINA 500 MG PO LIOF SOL INFUS IV CT FA VD TRANS,CLARITROMICINA 500 MG PO LIOF SOL INFUS IV CT FA VD TRANS,248,"R$6.473,68"
"CLAVULIN (80 + 11,4) MG/ML PO SUS OR CT FR X70ML+SER DOS","CLAVULIN (80 + 11,4) MG/ML PO SUS OR CT FR X70ML+SER DOS",3,"R$246,93"
CLAVULIN (875+ 125) MG COM REV CT ENVOL X14,CLAVULIN (875+ 125) MG COM REV CT ENVOL X14,4,"R$845,04"
CLONIDIN 150 MCG/ML SOL INJ CX 30 EST X AMP VD AMB X 1 ML,CLONIDIN 150 MCG/ML SOL INJ CX 30 EST X AMP VD AMB X 1 ML,446,"R$68.601,95"
CLORETO DE SODIO 9 MG/ML SOL INJ IV CX 50 SIST FECH X 250 ML,CLORETO DE SODIO 9 MG/ML SOL INJ IV CX 50 SIST FECH X 250 ML,310,"R$56.440,21"
CLORETO DE SODIO 9 MG/ML SOL INJ IV CX100  SIST FECH X100 ML,CLORETO DE SODIO 9 MG/ML SOL INJ IV CX100  SIST FECH X100 ML,349,"R$99.818,06"
CLORETO DE SODIO 9 MG/ML SOL INJ IV CX30 SIST FECH X 500 ML,CLORETO DE SODIO 9 MG/ML SOL INJ IV CX30 SIST FECH X 500 ML,297,"R$41.469,81"
CLORETO DE SODIO 9MG/ML SOL INJ IV CX 15 SIST FECH X1000ML,CLORETO DE SODIO 9MG/ML SOL INJ IV CX 15 SIST FECH X1000ML,80,"R$10.174,78"
CLORIDRATO DE CLINDAMICINA 300MG CAP GEL DURA  X 16,CLORIDRATO DE CLINDAMICINA 300MG CAP GEL DURA  X 16,607,"R$6.704,33"
CLORIDRATO DE DEXMEDETOMIDINA 100MCG/ML SOL INJ 5 FA 2ML,CLORIDRATO DE DEXMEDETOMIDINA 100MCG/ML SOL INJ 5 FA 2ML,"1,615","R$59.190,90"
CLORIDRATO DE DEXMEDETOMIDINA 100MCG/ML SOL IV CX5 FAX2ML,CLORIDRATO DE DEXMEDETOMIDINA 100MCG/ML SOL IV CX5 FAX2ML,46,"R$1.711,56"
CLORIDRATO DE DOPAMINA 5 MG/ML SOL INJ IV CT 50 AMP X 10 ML,CLORIDRATO DE DOPAMINA 5 MG/ML SOL INJ IV CT 50 AMP X 10 ML,55,"R$7.501,26"
CLORIDRATO DE EPIRRUBICINA 2 MG/ML SOL INJ IV 25 ML,CLORIDRATO DE EPIRRUBICINA 2 MG/ML SOL INJ IV 25 ML,76,"R$14.171,08"
CLORIDRATO DE GENCITABINA 1000MG PO LIOF INJ 50ML,CLORIDRATO DE GENCITABINA 1000MG PO LIOF INJ 50ML,100,"R$6.499,23"
CLORIDRATO DE GENCITABINA 200MG PO LIOF INJ 10ML,CLORIDRATO DE GENCITABINA 200MG PO LIOF INJ 10ML,146,"R$3.660,22"
CLORIDRATO DE IRINOTECANO 20 MG/ML SOL DIL INFUS IV5ML,CLORIDRATO DE IRINOTECANO 20 MG/ML SOL DIL INFUS IV5ML,"1,777","R$62.742,77"
CLORIDRATO DE REMIFENTANILA 2MG PO LIOF SOL INJ IV CX5 FA VD,CLORIDRATO DE REMIFENTANILA 2MG PO LIOF SOL INJ IV CX5 FA VD,331,"R$22.813,40"
CLORIDRATO DE TOPOTECANA 4 MG PO LIOF SOL INJ FA X 4 ML,CLORIDRATO DE TOPOTECANA 4 MG PO LIOF SOL INJ FA X 4 ML,49,"R$22.672,10"
CLORIDRATO DE TRAMADOL 50MG/ML INJ IT/IV/IM/SC 50AMPX1ML,CLORIDRATO DE TRAMADOL 50MG/ML INJ IT/IV/IM/SC 50AMPX1ML,158,"R$7.691,00"
CLORPROMAZ 5 MG/ML SOL INJ CT 50 AMP VD AMB X 5 ML,CLORPROMAZ 5 MG/ML SOL INJ CT 50 AMP VD AMB X 5 ML,225,"R$15.283,23"
CODEIN 3 MG/ML SOL OR CT FR VD AMB X 120 ML,CODEIN 3 MG/ML SOL OR CT FR VD AMB X 120 ML,253,"R$11.123,79"
CODEIN 30 MG COM CT BL AL PLAS TRANS X 30,CODEIN 30 MG COM CT BL AL PLAS TRANS X 30,"1,049","R$38.949,39"
CORTISONAL 100 MG PO SOL INJ/INFUS IV/IM CT 50 FA VD TRANS,CORTISONAL 100 MG PO SOL INJ/INFUS IV/IM CT 50 FA VD TRANS,217,"R$32.914,38"
CORTISONAL 500 MG PO SOL INJ/INFUS IV/IM CT 50 FA VD TRANS,CORTISONAL 500 MG PO SOL INJ/INFUS IV/IM CT 50 FA VD TRANS,42,"R$13.170,96"
COSENTYX 150 MG/ML SOL INJ CT 1 SER PREENC X 1ML+1 CAN APLIC,COSENTYX 150 MG/ML SOL INJ CT 1 SER PREENC X 1ML+1 CAN APLIC,"5,974","R$24.822.833,26"
COSENTYX 300 MG SOL INJ CT 1 SER PREENC X 2 ML + 1 CAN APLIC,COSENTYX 300 MG SOL INJ CT 1 SER PREENC X 2 ML + 1 CAN APLIC,507,"R$4.207.805,94"
"COSENTYX 75 MG SOL INJ CT 1 SER PREENC VD TRANS X 0,5 ML","COSENTYX 75 MG SOL INJ CT 1 SER PREENC VD TRANS X 0,5 ML",1,"R$1.984,54"
COTELLIC 20 MG COM REV CT BL AL PLAS TRANS X 63,COTELLIC 20 MG COM REV CT BL AL PLAS TRANS X 63,10,"R$213.636,31"
CRESTOR 10 MG COM REV CT BL AL/AL X 30,CRESTOR 10 MG COM REV CT BL AL/AL X 30,"1,559","R$208.106,70"
DANTROLEN 20MG PO LIOF SOL INJ IV CX 12 FA VD+DIL FA VDX60ML,DANTROLEN 20MG PO LIOF SOL INJ IV CX 12 FA VD+DIL FA VDX60ML,17,"R$30.869,58"
DAPTOMICINA 500 MG PO LIOF SOL INJ/INFUS IV FA TRANS,DAPTOMICINA 500 MG PO LIOF SOL INJ/INFUS IV FA TRANS,898,"R$96.646,90"
DAXAS 500 MCG COM REV CT BL PVC/PVDC/AL X 30,DAXAS 500 MCG COM REV CT BL PVC/PVDC/AL X 30,3,"R$707,70"
DECAN HALOPER 50 MG/ML SOL INJ CT 3 AMP VD AMB X 1 ML,DECAN HALOPER 50 MG/ML SOL INJ CT 3 AMP VD AMB X 1 ML,600,"R$7.521,50"
"DESLANOL 0,2 MG/ML SOL INJ IV/IM CT 50 AMP VD AMB X 2 ML","DESLANOL 0,2 MG/ML SOL INJ IV/IM CT 50 AMP VD AMB X 2 ML",88,"R$6.618,85"
DICLOFENACO SÓDICO 25 MG/ML SOL INJ IM CT 50 AMP VD X 3 ML,DICLOFENACO SÓDICO 25 MG/ML SOL INJ IM CT 50 AMP VD X 3 ML,340,"R$12.327,73"
DIFENIDRIN 50 MG/ML SOL INJ CX 25AMP VD AMB X 1 ML(EMB HOSP),DIFENIDRIN 50 MG/ML SOL INJ CX 25AMP VD AMB X 1 ML(EMB HOSP),671,"R$280.026,17"
DIGESTINA 5 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML,DIGESTINA 5 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML,693,"R$36.525,24"
"DIMORF 0,2 MG/ML SOL INJ CX 50 ENVOL AMP VD AMB X 1 ML","DIMORF 0,2 MG/ML SOL INJ CX 50 ENVOL AMP VD AMB X 1 ML",59,"R$13.775,54"
DIMORF 10 MG COM CX BL AL AL X 50,DIMORF 10 MG COM CX BL AL AL X 50,300,"R$9.626,16"
DIMORF 10 MG/ML SOL GOT CT FR VD AMB X 60 ML  + CGT,DIMORF 10 MG/ML SOL GOT CT FR VD AMB X 60 ML  + CGT,55,"R$1.298,57"
"DIMORF 1,0 MG/ML SOL INJ CX 50 ENVOL AMP VD AMB X 2 ML","DIMORF 1,0 MG/ML SOL INJ CX 50 ENVOL AMP VD AMB X 2 ML",48,"R$13.116,34"
"DIMORF 10,0 MG/ML SOL INJ CX 50 AMP VD AMB X 1ML","DIMORF 10,0 MG/ML SOL INJ CX 50 AMP VD AMB X 1ML",245,"R$23.398,03"
DIMORF 30 MG COM CX BL AL AL X 50,DIMORF 30 MG COM CX BL AL AL X 50,30,"R$2.645,93"
"DIPROGENTA (0,5 + 1) MG/G CREM DERM CT  BG AL X 30 G ","DIPROGENTA (0,5 + 1) MG/G CREM DERM CT  BG AL X 30 G ","1,440","R$32.462,81"
"DIPROSONE 0,64 MG/G CREM DERM CT BG AL X 30 G ","DIPROSONE 0,64 MG/G CREM DERM CT BG AL X 30 G ",432,"R$14.144,79"
"DIPROSPAN 5,0 MG/ML + 2,0 MG/ML SUS INJ CT AMP VD X 1ML+SER ","DIPROSPAN 5,0 MG/ML + 2,0 MG/ML SUS INJ CT AMP VD X 1ML+SER ","61,380","R$502.680,84"
"DIPROSPAN 5,0 MG/ML + 2,0 MG/ML SUS INJ 6 AMP VD X1ML","DIPROSPAN 5,0 MG/ML + 2,0 MG/ML SUS INJ 6 AMP VD X1ML",566,"R$21.026,48"
DOCKS 2 MG/ML SOL INJ IV CT FA VD TRANS X 25 ML,DOCKS 2 MG/ML SOL INJ IV CT FA VD TRANS X 25 ML,936,"R$47.818,09"
"DOLO MOFF 1,0MG/ML SOL INJ/DIL INFUS IV/EPI/IT/IM 50 AMPX2ML","DOLO MOFF 1,0MG/ML SOL INJ/DIL INFUS IV/EPI/IT/IM 50 AMPX2ML",164,"R$20.723,99"
"DOLO MOFF 10,0MG/ML SOL INJ IV/EPI/IT/IM 50AMPX1ML","DOLO MOFF 10,0MG/ML SOL INJ IV/EPI/IT/IM 50AMPX1ML",24,"R$2.573,82"
DORMIRE 1 MG/ML  SOL INJ IV/IM/RET CX 10 AMP VD AMB X 5 ML,DORMIRE 1 MG/ML  SOL INJ IV/IM/RET CX 10 AMP VD AMB X 5 ML,80,"R$2.687,89"
DORMIRE 5 MG/ML  SOL INJ IV/IM/RET CX 10 AMP VD AMB X 10 ML,DORMIRE 5 MG/ML  SOL INJ IV/IM/RET CX 10 AMP VD AMB X 10 ML,17,"R$1.103,14"
DORMIRE 5 MG/ML  SOL INJ IV/IM/RET CX 10 AMP VD AMB X 3 ML,DORMIRE 5 MG/ML  SOL INJ IV/IM/RET CX 10 AMP VD AMB X 3 ML,83,"R$1.765,26"
DRAMIN B6 DL 100FA 10ML 3 + 5 + 100 + 100MG/ML INJ IMPORT,DRAMIN B6 DL 100FA 10ML 3 + 5 + 100 + 100MG/ML INJ IMPORT,749,"R$568.108,92"
DRAMIN B6 DL 3MG/M+5MG/ML+100 MG/ML+100 MG/ML SOL INJ 100AMP,DRAMIN B6 DL 3MG/M+5MG/ML+100 MG/ML+100 MG/ML SOL INJ 100AMP,"3,004","R$2.260.557,13"
DRAMIN B6 (25 + 5) MG/ML SOL GOT OR CT FR GOT PLAS AMBX30ML,DRAMIN B6 (25 + 5) MG/ML SOL GOT OR CT FR GOT PLAS AMBX30ML,960,"R$15.899,02"
DRAMIN B6 (50 + 10) MG COM REV CT BL AL PLAS X30,DRAMIN B6 (50 + 10) MG COM REV CT BL AL PLAS X30,"1,848","R$31.121,02"
"DROPERDAL 2,5 MG/ML SOL INJ IM/IV CX  50 AMP VD AMB X 1 ML","DROPERDAL 2,5 MG/ML SOL INJ IM/IV CX  50 AMP VD AMB X 1 ML",93,"R$43.174,24"
"DUOFLAM 6,43 MG/ML + 2,63 MG/ML SUS INJ CX 25 AMP VDX1ML","DUOFLAM 6,43 MG/ML + 2,63 MG/ML SUS INJ CX 25 AMP VDX1ML",144,"R$11.866,08"
DYSPORT 300 U PO LIOF SOL INJ CT FA VD TRANS,DYSPORT 300 U PO LIOF SOL INJ CT FA VD TRANS,435,"R$529.031,90"
DYSPORT 500 U PO LIOF SOL INJ CT FA VD TRANS,DYSPORT 500 U PO LIOF SOL INJ CT FA VD TRANS,"1,217","R$2.544.282,45"
"ECOFILM 5,0 MG/ML SOL OFT CT FR GOT PLAS OPC X 15 ML","ECOFILM 5,0 MG/ML SOL OFT CT FR GOT PLAS OPC X 15 ML",150,"R$3.116,50"
"ECOFILM 5,0 MG/ML SOL OFT CT FR GOT PLAS OPC X 5 ML","ECOFILM 5,0 MG/ML SOL OFT CT FR GOT PLAS OPC X 5 ML",50,"R$366,00"
ENSPRYNG 120 MG SOL INJ SC CT 1 SER PREENC PLAS TRANS X 1ML,ENSPRYNG 120 MG SOL INJ SC CT 1 SER PREENC PLAS TRANS X 1ML,4,"R$191.351,40"
