PONTUAL FARMACEUTICA
CONTROLADORA (Consolidado)
Resumo de vendas por item
01 Outubro 2025 - 10 Fevereiro 2026


Item ,Descrição do item ,Qtd. vendida ,Receita total 
BENLYSTA 200 MG/ML SOL INJ CT 4 SER PREENC X 1ML + CAN APLIC,BENLYSTA 200 MG/ML SOL INJ CT 4 SER PREENC X 1ML + CAN APLIC,77,"R$450.848,18"
BENLYSTA 400 MG PO LIOF INJ CT FA VD INC,BENLYSTA 400 MG PO LIOF INJ CT FA VD INC,525,"R$1.515.406,73"
BETACRIS 1 MG/ML SOL INJ IV CT 10 EST X AMP VD TRANS X 5 ML,BETACRIS 1 MG/ML SOL INJ IV CT 10 EST X AMP VD TRANS X 5 ML,27,"R$2.438,64"
BEXSERO PFS AFS BR,BEXSERO PFS AFS BR,100,"R$50.709,30"
BIOGAM 100 MG/ML SOL INFUS IV CX FA VD TRANS X 50 ML,BIOGAM 100 MG/ML SOL INFUS IV CX FA VD TRANS X 50 ML,1,"R$1.067,96"
"BORTEZOMIBE 3,5 MG PO LIOF SOL INJ IV/SC CT FA VD TRANS","BORTEZOMIBE 3,5 MG PO LIOF SOL INJ IV/SC CT FA VD TRANS",165,"R$6.016,09"
"BORTYZ 3,5 MG 1FA PO LIOF INJ","BORTYZ 3,5 MG 1FA PO LIOF INJ ",425,"R$24.686,09"
BREVIBLOC 10 MG/ML SOL INJ CX 25 FA VD AMBX10 ML(EMB HOSP),BREVIBLOC 10 MG/ML SOL INJ CX 25 FA VD AMBX10 ML(EMB HOSP),20,"R$19.406,20"
BRILINTA 90 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 60,BRILINTA 90 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 60,18,"R$5.929,68"
"BUSSULFANO 6,0 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 10 ML","BUSSULFANO 6,0 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 10 ML",326,"R$347.385,29"
"BUXILFAM 6,0 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 10 ML","BUXILFAM 6,0 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 10 ML",161,"R$170.253,85"
CABOMETYX 20 MG COM REV CT FR PLAS PEAD OPC X 30,CABOMETYX 20 MG COM REV CT FR PLAS PEAD OPC X 30,263,"R$5.050.262,29"
CABOMETYX 40 MG COM REV CT FR PLAS PEAD OPC X 30,CABOMETYX 40 MG COM REV CT FR PLAS PEAD OPC X 30,232,"R$8.658.327,99"
CABOMETYX 60 MG COM REV CT FR PLAS PEAD OPC X 30,CABOMETYX 60 MG COM REV CT FR PLAS PEAD OPC X 30,138,"R$5.571.148,81"
CALQUENCE COMPRIMIDOS 100 MG COM REV CT BL AL AL X 60,CALQUENCE COMPRIMIDOS 100 MG COM REV CT BL AL AL X 60,556,"R$16.772.123,18"
"CELESTONE SOLUSPAN 3,0MG/ML+3,945 MG/ML SUS INJ 1AMPX1ML ","CELESTONE SOLUSPAN 3,0MG/ML+3,945 MG/ML SUS INJ 1AMPX1ML ",252,"R$1.693,44"
CELESTONE 4 MG/ML SOL INJ CT CAMA AMP VD TRANS X 1 ML,CELESTONE 4 MG/ML SOL INJ CT CAMA AMP VD TRANS X 1 ML,90,"R$424,80"
CELLCEPT 500 MG COM REV CT  BL AL PLAS OPC X 50,CELLCEPT 500 MG COM REV CT  BL AL PLAS OPC X 50,25,"R$14.972,66"
CERMAZ 1 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30,CERMAZ 1 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30,50,"R$374,50"
CETOPROFENO 100 MG PÓ LIOF P/ SOL INJ CX 50 FA VD TRANS,CETOPROFENO 100 MG PÓ LIOF P/ SOL INJ CX 50 FA VD TRANS,80,"R$8.544,00"
CIS 2 MG/ML SOL INJ IV CT 5 AMP VD TRANS X 5 ML,CIS 2 MG/ML SOL INJ IV CT 5 AMP VD TRANS X 5 ML,150,"R$3.799,50"
CITARABINA 100 MG/ML SOL INJ CT FA VD TRANS X 1 ML,CITARABINA 100 MG/ML SOL INJ CT FA VD TRANS X 1 ML,29,"R$306,66"
CITARABINA 100 MG/ML SOL INJ CT FA VD TRANS X 10 ML,CITARABINA 100 MG/ML SOL INJ CT FA VD TRANS X 10 ML,519,"R$38.145,57"
CITARABINA 100 MG/ML SOL INJ CT FA VD TRANS X 5 ML,CITARABINA 100 MG/ML SOL INJ CT FA VD TRANS X 5 ML,462,"R$17.254,31"
CLONIDIN 150 MCG/ML SOL INJ CX 30 EST X AMP VD AMB X 1 ML,CLONIDIN 150 MCG/ML SOL INJ CX 30 EST X AMP VD AMB X 1 ML,80,"R$7.323,20"
CLORETO DE SODIO 9 MG/ML SOL INJ IV CX30 SIST FECH X 500 ML,CLORETO DE SODIO 9 MG/ML SOL INJ IV CX30 SIST FECH X 500 ML,-2,"-R$174,00"
CLORIDRATO DE EPIRRUBICINA 2 MG/ML SOL INJ IV 25 ML,CLORIDRATO DE EPIRRUBICINA 2 MG/ML SOL INJ IV 25 ML,46,"R$8.520,48"
CLORIDRATO DE GENCITABINA 200MG PO LIOF INJ 10ML,CLORIDRATO DE GENCITABINA 200MG PO LIOF INJ 10ML,146,"R$3.660,22"
CLORIDRATO DE IRINOTECANO 20 MG/ML SOL DIL INFUS IV5ML,CLORIDRATO DE IRINOTECANO 20 MG/ML SOL DIL INFUS IV5ML,326,"R$12.673,79"
CLORIDRATO DE TOPOTECANA 4 MG PO LIOF SOL INJ FA X 4 ML,CLORIDRATO DE TOPOTECANA 4 MG PO LIOF SOL INJ FA X 4 ML,4,"R$1.927,71"
CODEIN 3 MG/ML SOL OR CT FR VD AMB X 120 ML,CODEIN 3 MG/ML SOL OR CT FR VD AMB X 120 ML,2,"R$79,32"
COSENTYX 150 MG/ML SOL INJ CT 1 SER PREENC X 1ML+1 CAN APLIC,COSENTYX 150 MG/ML SOL INJ CT 1 SER PREENC X 1ML+1 CAN APLIC,707,"R$2.947.122,29"
COSENTYX 300 MG SOL INJ CT 1 SER PREENC X 2 ML + 1 CAN APLIC,COSENTYX 300 MG SOL INJ CT 1 SER PREENC X 2 ML + 1 CAN APLIC,17,"R$143.046,09"
COTELLIC 20 MG COM REV CT BL AL PLAS TRANS X 63,COTELLIC 20 MG COM REV CT BL AL PLAS TRANS X 63,2,"R$43.357,86"
CRESTOR 10 MG COM REV CT BL AL/AL X 30,CRESTOR 10 MG COM REV CT BL AL/AL X 30,871,"R$116.232,30"
DANTROLEN 20MG PO LIOF SOL INJ IV CX 12 FA VD+DIL FA VDX60ML,DANTROLEN 20MG PO LIOF SOL INJ IV CX 12 FA VD+DIL FA VDX60ML,6,"R$8.787,72"
DAPTOMICINA 500 MG PO LIOF SOL INJ/INFUS IV FA TRANS,DAPTOMICINA 500 MG PO LIOF SOL INJ/INFUS IV FA TRANS,388,"R$41.989,30"
DIFENIDRIN 50 MG/ML SOL INJ CX 25AMP VD AMB X 1 ML(EMB HOSP),DIFENIDRIN 50 MG/ML SOL INJ CX 25AMP VD AMB X 1 ML(EMB HOSP),94,"R$30.906,07"
"DIMORF 0,2 MG/ML SOL INJ CX 50 ENVOL AMP VD AMB X 1 ML","DIMORF 0,2 MG/ML SOL INJ CX 50 ENVOL AMP VD AMB X 1 ML",9,"R$2.166,94"
"DIMORF 1,0 MG/ML SOL INJ CX 50 ENVOL AMP VD AMB X 2 ML","DIMORF 1,0 MG/ML SOL INJ CX 50 ENVOL AMP VD AMB X 2 ML",9,"R$2.316,60"
DOCKS 2 MG/ML SOL INJ IV CT FA VD TRANS X 25 ML,DOCKS 2 MG/ML SOL INJ IV CT FA VD TRANS X 25 ML,288,"R$14.776,74"
"DROPERDAL 2,5 MG/ML SOL INJ IM/IV CX  50 AMP VD AMB X 1 ML","DROPERDAL 2,5 MG/ML SOL INJ IM/IV CX  50 AMP VD AMB X 1 ML",5,"R$2.150,00"
DYSPORT 300 U PO LIOF SOL INJ CT FA VD TRANS,DYSPORT 300 U PO LIOF SOL INJ CT FA VD TRANS,350,"R$418.729,71"
DYSPORT 500 U PO LIOF SOL INJ CT FA VD TRANS,DYSPORT 500 U PO LIOF SOL INJ CT FA VD TRANS,760,"R$1.624.716,41"
"ECOFILM 5,0 MG/ML SOL OFT CT FR GOT PLAS OPC X 15 ML","ECOFILM 5,0 MG/ML SOL OFT CT FR GOT PLAS OPC X 15 ML",100,"R$1.678,00"
"ECOFILM 5,0 MG/ML SOL OFT CT FR GOT PLAS OPC X 5 ML","ECOFILM 5,0 MG/ML SOL OFT CT FR GOT PLAS OPC X 5 ML",50,"R$366,00"
ENSPRYNG 120 MG SOL INJ SC CT 1 SER PREENC PLAS TRANS X 1ML,ENSPRYNG 120 MG SOL INJ SC CT 1 SER PREENC PLAS TRANS X 1ML,4,"R$191.351,40"
ERITROMAX 40000 UI/ML 1 SER PREENCH X 1 ML,ERITROMAX 40000 UI/ML 1 SER PREENCH X 1 ML,65,"R$51.954,04"
ERIVEDGE 150 MG CAP DURA CT FR PLAS OPC X 28,ERIVEDGE 150 MG CAP DURA CT FR PLAS OPC X 28,76,"R$2.253.574,99"
ESBRIET 267 MG CAP DURA CT FR PLAS OPC X 270,ESBRIET 267 MG CAP DURA CT FR PLAS OPC X 270,19,"R$252.992,74"
"EVRYSDI 0,75MG/ML PO SOL OR FR80ML+4 SER DOS=2X6ML+12ML","EVRYSDI 0,75MG/ML PO SOL OR FR80ML+4 SER DOS=2X6ML+12ML",176,"R$10.615.024,77"
"EYLIA 114,3MG/ML S INJ IVIT CT 1 FA VD TRANS X0,263ML+AGU","EYLIA 114,3MG/ML S INJ IVIT CT 1 FA VD TRANS X0,263ML+AGU",61,"R$190.101,63"
"EYLIA 40 MG/ML SOL INJ IVIT CT 1 FA VD X 0,278 ML + AGU","EYLIA 40 MG/ML SOL INJ IVIT CT 1 FA VD X 0,278 ML + AGU","1,033","R$2.355.125,69"
FASENRA 1SER PREENC 1ML 30MG/ML + CAN APLIC  INJ,FASENRA 1SER PREENC 1ML 30MG/ML + CAN APLIC  INJ,101,"R$1.222.939,68"
FASLODEX 50 MG/ML SOL INJ CT 2 SER VD PREENCH X 5ML+2AGULHAS,FASLODEX 50 MG/ML SOL INJ CT 2 SER VD PREENCH X 5ML+2AGULHAS,101,"R$113.790,04"
"FEMARA 2,5 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 28","FEMARA 2,5 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 28",48,"R$35.127,96"
"FEMARA 2,5 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 30","FEMARA 2,5 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 30	",8,"R$6.178,52"
FENOCRIS 100 MG/ML SOL INJ IM/IV CX 25 AMP VD TRANS X 2 ML,FENOCRIS 100 MG/ML SOL INJ IM/IV CX 25 AMP VD TRANS X 2 ML,6,"R$334,08"
FERINJECT INJET 50MG 1FA X 10ML,FERINJECT INJET 50MG 1FA X 10ML,"1,967","R$1.140.654,77"
"FILGRASTINE 600MCG/ML 5SER 0,5ML","FILGRASTINE FILGRASTINE 600MCG/ML 5SER 0,5ML",6,"R$345,24"
FOPITANT 150 MG PO LIOF SOL INFUS IV CT FA VD TRANS,FOPITANT 150 MG PO LIOF SOL INFUS IV CT FA VD TRANS,31,"R$3.766,87"
FORXIGA 30COM 10MG,FORXIGA 30COM 10MG,702,"R$77.659,97"
FOSAPREPITANTO DIMEGLUMINA 150MG PO LIOF SOL INJ IV,FOSAPREPITANTO DIMEGLUMINA 150MG PO LIOF SOL INJ IV,209,"R$32.407,84"
GAZYVA 1000 MG SOL DIL INFUS IV CT FA VD TRANS X 40 ML,GAZYVA 1000 MG SOL DIL INFUS IV CT FA VD TRANS X 40 ML,132,"R$3.391.371,55"
GENGILIV - BABYDEAS,GENGILIV - BABYDEAS,500,"R$4.307,60"
GLICOSE HALEX ISTAR 50MG/ML SOL INJ IV CX 30 SIST FECHX500ML,GLICOSE HALEX ISTAR 50MG/ML SOL INJ IV CX 30 SIST FECHX500ML,-1,"-R$117,00"
GLIVEC 400 MG COM REV CT BL AL/AL X 30,GLIVEC 400 MG COM REV CT BL AL/AL X 30,2,"R$36.638,12"
HEMOFOL 5000 UI/ML SOL INJ CX 25 FA VD INC X 5 ML,HEMOFOL 5000 UI/ML SOL INJ CX 25 FA VD INC X 5 ML,40,"R$9.829,76"
"HEMOFOL 5000 UI/0,25 ML SOL INJ CX 25 AMP VD INCX0,25ML","HEMOFOL 5000 UI/0,25 ML SOL INJ CX 25 AMP VD INCX0,25ML",96,"R$10.252,80"
HERCEPTIN 440 MG PO LIOF SOL INJ IV FA VD + DIL FA X 20ML,HERCEPTIN 440 MG PO LIOF SOL INJ IV FA VD + DIL FA X 20ML,18,"R$296.590,86"
HERCEPTIN 600 MG SOL INJ SC CT FA VD TRANS X 5 ML,HERCEPTIN 600 MG SOL INJ SC CT FA VD TRANS X 5 ML,64,"R$743.149,26"
HERPES BLOCK ENV C/5 - AMO FARMA,HERPES BLOCK ENV C/5 - AMO FARMA,"2,974","R$19.889,20"
"IDACIO 40MG 2 CAN 0,8ML","IDACIO 40MG 2 CAN 0,8ML",122,"R$95.256,30"
"IMFINZI 120 MG/2,4 ML SOL INJ CT FA VD TRANS X 2,4 ML","IMFINZI 120 MG/2,4 ML SOL INJ CT FA VD TRANS X 2,4 ML",369,"R$1.236.024,71"
IMFINZI 500 MG/10 ML SOL INJ CT FA VD TRANS X 10 ML,IMFINZI 500 MG/10 ML SOL INJ CT FA VD TRANS X 10 ML,"2,419","R$33.250.270,02"
"IMJUDO 25MG / 1,25 ML SOL DIL INFUS CT FA VD TRANS X 1,25 ML","IMJUDO 25MG / 1,25 ML SOL DIL INFUS CT FA VD TRANS X 1,25 ML",8,"R$85.725,40"
IMJUDO 300 MG / 15 ML SOL DIL INFUS CT FA VD TRANS X 15 ML,IMJUDO 300 MG / 15 ML SOL DIL INFUS CT FA VD TRANS X 15 ML,10,"R$1.228.647,58"
IMUNOGLOBULIN 50 MG/ML SOL INJ CT FA VD INC X 100 ML,IMUNOGLOBULIN 50 MG/ML SOL INJ CT FA VD INC X 100 ML,136,"R$250.730,60"
IRESSA 250 MG COM REV CT ENV X BL AL/PLAS TRANSP X 30,IRESSA 250 MG COM REV CT ENV X BL AL/PLAS TRANSP X 30,23,"R$56.901,15"
JEMPERLI 50 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 10 ML,JEMPERLI 50 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 10 ML,336,"R$9.611.810,74"
KADCYLA 100 MG PO LIOF SOL INJ IV CT FA VD TRANS,KADCYLA 100 MG PO LIOF SOL INJ IV CT FA VD TRANS,"1,066","R$8.950.899,22"
KADCYLA 160 MG PO LIOF SOL INJ IV CT FA VD TRANS,KADCYLA 160 MG PO LIOF SOL INJ IV CT FA VD TRANS,327,"R$4.402.330,88"
"KESIMPTA 20 MG/0,4 ML SOL INJ CT 1 CAN PREENC X 0,4 ML","KESIMPTA 20 MG/0,4 ML SOL INJ CT 1 CAN PREENC X 0,4 ML",8,"R$89.930,08"
KETAMIN 50 MG/ML SOL INJ IM/IV CX 25 AMP VD AMB X 2 ML,KETAMIN 50 MG/ML SOL INJ IM/IV CX 25 AMP VD AMB X 2 ML,50,"R$18.025,00"
KISQALI 200 MG/DOSE COM REV CT BL AL PLAS PVC/PCTFE X 42,KISQALI 200 MG/DOSE COM REV CT BL AL PLAS PVC/PCTFE X 42,6,"R$70.543,38"
KISQALI 200 MG/DOSE COM REV CT BL AL PLAS PVC/PCTFE X 63,KISQALI 200 MG/DOSE COM REV CT BL AL PLAS PVC/PCTFE X 63,20,"R$351.989,81"
"KOLLAGENASE+CLORANFENICOL 0,6 U/G+0,01G/G POM DER10BGX30G","KOLLAGENASE+CLORANFENICOL 0,6 U/G+0,01G/G POM DER10BGX30G",36,"R$2.872,08"
KOSELUGO 10 MG CAP DURA CT FR PLAS PEAD OPC X 60,KOSELUGO 10 MG CAP DURA CT FR PLAS PEAD OPC X 60,44,"R$1.487.183,31"
KOSELUGO 25 MG CAP DURA CT FR PLAS PEAD OPC X 60,KOSELUGO 25 MG CAP DURA CT FR PLAS PEAD OPC X 60,16,"R$1.371.522,49"
"KYLEENA 1DIU + 1APLIC 19,5MG","KYLEENA 1DIU + 1APLIC 19,5MG",616,"R$600.610,67"
L - ALECENSA 224CAP 150MG,L - ALECENSA 224CAP 150MG,27,"R$657.293,00"
L - ERIVEDGE 150 MG CAP DURA CT FR PLAS OPC X 28,L - ERIVEDGE 150 MG CAP DURA CT FR PLAS OPC X 28,19,"R$480.332,44"
L - HEMCIBRA 150 MG SOL INJ SC CT 1 FA VD TRANS X 1 ML,L - HEMCIBRA 150 MG SOL INJ SC CT 1 FA VD TRANS X 1 ML,8,"R$542.849,76"
L - HEMCIBRA 30 MG SOL INJ SC CT 1 FA VD TRANS X 1 ML,L - HEMCIBRA 30 MG SOL INJ SC CT 1 FA VD TRANS X 1 ML,14,"R$194.688,48"
L - HERCEPTIN 600 MG SOL INJ SC CT FA VD TRANS X 5 ML,L - HERCEPTIN 600 MG SOL INJ SC CT FA VD TRANS X 5 ML,20,"R$286.540,96"
L - KADCYLA 160 MG PO LIOF SOL INJ IV CT FA VD TRANS,L - KADCYLA 160 MG PO LIOF SOL INJ IV CT FA VD TRANS,10,"R$137.277,20"
L - MICAFUNGINA SODICA 100 MG PO LIOF SOL INFUS IV CT 1 FA,L - MICAFUNGINA SODICA 100 MG PO LIOF SOL INFUS IV CT 1 FA,180,"R$52.735,80"
L - MICAFUNGINA SODICA 50 MG PO LIOF SOL INFUS IV FA,L - MICAFUNGINA SODICA 50 MG PO LIOF SOL INFUS IV FA,-285,"-R$38.423,28"
L - OCREVUS 30 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 10 ML,L - OCREVUS 30 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 10 ML,104,"R$3.533.874,54"
L - PERJETA 420 MG SOL DIL INFUS CT FA VD TRANS X 14 ML,L - PERJETA 420 MG SOL DIL INFUS CT FA VD TRANS X 14 ML,10,"R$123.094,80"
L - ZELBORAF 240 MG COM REV CT BL AL AL X 56,L - ZELBORAF 240 MG COM REV CT BL AL AL X 56,28,"R$242.183,20"
L- MYCAFREM 100 MG PO SOL INFUS IV CT FA VD TRANS,L- MYCAFREM 100 MG PO SOL INFUS IV CT FA VD TRANS,"2,109","R$305.805,00"
"LETROZOL 2,5 MG COM REV CT BL AL PLAS PVC/PVDC X 30","LETROZOL 2,5 MG COM REV CT BL AL PLAS PVC/PVDC X 30",3,"R$252,06"
LEVOTAC 5MG/ML SOL INFUS IV CX6 BOLS PLAS PP SIST FECHX100ML,LEVOTAC 5MG/ML SOL INFUS IV CX6 BOLS PLAS PP SIST FECHX100ML,30,"R$878,70"
LOKELMA 5 G PO SUS OR CT ENV AL PLAS PET/PEBDL OPC X 30,LOKELMA 5 G PO SUS OR CT ENV AL PLAS PET/PEBDL OPC X 30,448,"R$694.816,85"
LYNPARZA COMPRIMIDOS 100 MG COM REV CT BL AL AL PVC X 56,LYNPARZA COMPRIMIDOS 100 MG COM REV CT BL AL AL PVC X 56,154,"R$2.402.134,70"
LYNPARZA COMPRIMIDOS 150 MG COM REV CT BL AL AL PVC X 56,LYNPARZA COMPRIMIDOS 150 MG COM REV CT BL AL AL PVC X 56,872,"R$13.464.112,81"
MABTHERA 10 MG/ML SOL DIL INFUS IV CT 1 FR VD TRANS X 50 ML,MABTHERA 10 MG/ML SOL DIL INFUS IV CT 1 FR VD TRANS X 50 ML,2,"R$19.831,25"
"MABTHERA 1400 MG SOL INJ SC CT 1 FA VD TRANS X 11,7 ML","MABTHERA 1400 MG SOL INJ SC CT 1 FA VD TRANS X 11,7 ML",121,"R$1.434.629,67"
"MEKINIST 0,5 MG COM REV CT FR PLAS PEAD OPC X 30","MEKINIST 0,5 MG COM REV CT FR PLAS PEAD OPC X 30",1,"R$5.298,51"
MEKINIST 2 MG COM REV CT FR PLAS PEAD OPC X 30,MEKINIST 2 MG COM REV CT FR PLAS PEAD OPC X 30,1,"R$21.215,84"
MICAFUNGINA SODICA 100 MG PO LIOF SOL INFUS IV CT 1 FA,MICAFUNGINA SODICA 100 MG PO LIOF SOL INFUS IV CT 1 FA,150,"R$39.745,90"
MIRENA 1DIU + 1APLIC 52MG,MIRENA 1DIU + 1APLIC 52MG,"1,842","R$1.820.777,81"
MONOFER 100 MG/ML SOL INFUS CT FA VD TRANS X 5 ML,MONOFER 100 MG/ML SOL INFUS CT FA VD TRANS X 5 ML,50,"R$25.483,50"
MUPIROCINA 20 MG/G POM DERM CT BG AL X 15 G,MUPIROCINA 20 MG/G POM DERM CT BG AL X 15 G,50,"R$549,00"
MYCAFREM 100 MG PO SOL INFUS IV CT FA VD TRANS,MYCAFREM 100 MG PO SOL INFUS IV CT FA VD TRANS,840,"R$199.236,20"
MYTEDOM 10 MG COM CT BL AL AL X 20,MYTEDOM 10 MG COM CT BL AL AL X 20,49,"R$1.322,20"
MYTEDOM 10 MG/ML SOL INJ CX 25 AMP VD AMB X 1 ML,MYTEDOM 10 MG/ML SOL INJ CX 25 AMP VD AMB X 1 ML,12,"R$1.483,20"
NAUSEDRON 2 MG/ML SOL INJ IV/IM CX 50 AMP VD TRANS X 4 ML,NAUSEDRON 2 MG/ML SOL INJ IV/IM CX 50 AMP VD TRANS X 4 ML,36,"R$1.208,16"
NEBACETIN 5 MG/G +250 UI/G POM CT BG PLAS AL PLAS X 15 G,NEBACETIN 5 MG/G +250 UI/G POM CT BG PLAS AL PLAS X 15 G,504,"R$2.973,60"
"NEOCAINA PESADA (5,0 + 80,0)MG/ML SOL INJ CX 40AMP VDX4ML","NEOCAINA PESADA (5,0 + 80,0)MG/ML SOL INJ CX 40AMP VDX4ML",32,"R$5.428,80"
NEOCAINA 5 MG/ML SOL INJ CX 10 EST X FA VD TRANS X 20ML,NEOCAINA 5 MG/ML SOL INJ CX 10 EST X FA VD TRANS X 20ML,50,"R$5.645,00"
NEOCAINA 5MG/ML SOL INJ CX40 EST X AMP VD TRANS X 4ML,NEOCAINA 5MG/ML SOL INJ CX40 EST X AMP VD TRANS X 4ML,18,"R$3.918,64"
"NESINA PIO (25,0 + 30,0) MG COM REV CT BL AL AL X 30","NESINA PIO (25,0 + 30,0) MG COM REV CT BL AL AL X 30",60,"R$8.184,00"
NEXAVAR 200 MG COM REV CT BL AL / AL X 60,NEXAVAR 200 MG COM REV CT BL AL / AL X 60,69,"R$417.908,14"
NITROPRUS 50MG PO LIOF SOL INJ 5AMP VD+AMP DILX2ML+EQUIPO,NITROPRUS 50MG PO LIOF SOL INJ 5AMP VD+AMP DILX2ML+EQUIPO,18,"R$852,30"
NOLVADEX 20 MG COM REV CT BL AL PLAS AMB X 30,NOLVADEX 20 MG COM REV CT BL AL PLAS AMB X 30,"1,039","R$184.149,25"
NORIPURUM 20MG INJ 5AMP X 5ML,NORIPURUM 20MG INJ 5AMP X 5ML,654,"R$43.891,67"
NOSEFRIDA 1 EMB COM + 3 FILTROS,NOSEFRIDA 1 EMB COM + 3 FILTROS,200,"R$8.580,00"
"NOVABUPI SEM VASO 5,0 MG/ML SOL INJ EPI CX10 EST FA VD X20ML","NOVABUPI SEM VASO 5,0 MG/ML SOL INJ EPI CX10 EST FA VD X20ML",20,"R$3.295,40"
NUBEQA 300 MG COM REV CT FR PLAS PEAD OPC X 120,NUBEQA 300 MG COM REV CT FR PLAS PEAD OPC X 120,958,"R$10.794.890,75"
NUCALA 100 MG/ML SOL INJ CT CAR VD TRANS + CAN APLIC + AGU,NUCALA 100 MG/ML SOL INJ CT CAR VD TRANS + CAN APLIC + AGU,"1,544","R$12.987.168,78"
"NUCALA 40MG/0,4ML SOL INJ CT SER PREENC+ADAPT+AGU","NUCALA 40MG/0,4ML SOL INJ CT SER PREENC+ADAPT+AGU",183,"R$614.407,51"
OCREVUS 30 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 10 ML,OCREVUS 30 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 10 ML,683,"R$27.084.988,19"
OCREVUS 920 MG SOL INJ SC CT FA VD TRANS X 23 ML,OCREVUS 920 MG SOL INJ SC CT FA VD TRANS X 23 ML,7,"R$565.335,51"
OJJAARA 100 MG COM REV CT FR PLAS PEAD OPC X 30,OJJAARA 100 MG COM REV CT FR PLAS PEAD OPC X 30,10,"R$132.470,77"
